Date,Spy,BIL-T,Cash,NoCash,bmSPY,EW,SPY_12,IR_12m,diff_Ind_1,Avg_Ind_2,Cond 1 ,Cond2,Combined,Final Cond,NoCash Weights,Cash Weights,Portfolio Return,TBILL,Cash,NoCash,bmSPY,EW,Portfolio Return,TBILL
2/28/2017,2363.639893,90.103378,3.22%,3.63%,3.93%,3.39%,0.147542847,0.001817603,0.145725245,193.6423751,1,1,2,1,1,0,0.45%,0.05%,129.0698181,136.4951323,136.0926227,140.642558,129.2770855,100.0066128
3/31/2017,2362.719971,90.087585,-0.19%,0.36%,0.12%,-0.42%,0.144008093,0.001203933,0.14280416,167.4741213,1,1,2,1,1,0,3.63%,-0.02%,128.8191303,136.9897682,136.2627225,140.05659,133.9652929,99.98908404
4/28/2017,2384.199951,90.154633,0.62%,1.74%,0.99%,0.70%,0.136984671,0.001949083,0.135035589,162.3791095,1,1,2,1,1,0,0.36%,0.07%,129.6221246,139.3765207,137.6152945,141.0411341,134.450761,100.0635013
5/31/2017,2411.800049,90.168442,1.84%,1.96%,1.41%,0.90%,0.149099952,0.002321486,0.146778466,163.7416993,1,1,2,1,1,0,1.74%,0.02%,132.0072513,142.1080763,139.5574458,142.3170396,136.7932769,100.078828
6/30/2017,2423.409912,90.261192,0.06%,-0.13%,0.64%,0.76%,0.114929059,0.002913611,0.112015448,148.3057453,1,1,2,1,1,0,1.96%,0.10%,132.0864443,141.9164922,140.4471099,143.3991566,139.474205,100.1817721
7/31/2017,2470.300049,90.29081,1.46%,1.45%,2.06%,1.74%,0.137888991,0.003242704,0.134646287,170.4708863,1,1,2,1,1,0,-0.13%,0.03%,134.019202,143.9715599,143.3338919,145.8877738,139.2861717,100.2146454
8/31/2017,2471.649902,90.393562,0.97%,1.27%,0.29%,-0.18%,0.139917943,0.004164781,0.135753162,146.7624101,1,1,2,1,1,0,1.45%,0.11%,135.3160722,145.8018128,143.7520898,145.6227193,141.3031503,100.3286909
9/29/2017,2519.360107,90.458801,0.87%,1.17%,2.01%,2.25%,0.18494002,0.004669744,0.180270276,165.2151078,1,1,2,1,1,0,1.27%,0.07%,136.4940125,147.5134356,146.6486229,148.8998656,143.0994807,100.4011003
10/31/2017,2575.26001,90.522118,3.83%,4.71%,2.36%,1.57%,0.171206216,0.005812822,0.165393394,183.6891685,1,1,2,1,1,0,1.17%,0.07%,141.7225056,154.4557686,150.1042546,151.2307503,144.7793799,100.4713764
11/30/2017,2647.580078,90.571632,2.44%,1.71%,3.06%,3.11%,0.182573034,0.006142759,0.176430275,218.6117349,1,1,2,1,1,0,4.71%,0.05%,145.17929,157.0944809,154.6923217,155.9360795,151.5930416,100.5263325
