,Average,bmGAL,bmIVV,bmACWI
2012-01-31,-0.0003,,,
2012-02-29,-0.0003,,0.04211874821229622,0.049460641618838785
2012-03-30,-0.0003,,0.03296441219962154,0.011139521714293776
2012-04-30,-0.0003,,-0.006586110281751378,-0.011440632206987544
2012-05-31,-0.0003,-0.05835532693012646,-0.06009381813617032,-0.09279894644599018
2012-06-29,-0.0003,0.017337155843266228,0.04207728327801874,0.05072292340601958
2012-07-31,-0.0003,0.030737292619722467,0.012431130491730613,0.008206057229366293
2012-08-31,-0.0003,0.014909914497491794,0.024774476315820637,0.027808995333986175
2012-09-28,-0.0003,0.022831195258289805,0.02331601006236017,0.02705688012719376
2012-10-31,-0.0003,-0.001969252227948748,-0.020221755851162926,-0.0051402997551405205
2012-11-30,-0.0003,0.010194000607321563,0.008693829907027162,0.015931021590669614
2012-12-31,-0.0003,0.019205036124965602,0.00944110540769616,0.0290413676240453
2013-01-31,-0.0003,0.025508602309633144,0.051138802791119264,0.03764550560319879
2013-02-28,-0.0052450150440765606,-0.003463646094042483,0.013558335101969021,-0.001002071982449837
2013-03-29,0.029863199651426947,0.016124651094088893,0.03677251725883135,0.01825842833469271
2013-04-30,0.057868929299432,0.024032276828030774,0.019636523194582978,0.028374156714770837
2013-05-31,-0.04241626044379302,-0.017677584021988157,0.02399523897254907,-0.003832011879913999
2013-06-28,-0.023763924355753217,-0.020873418530864996,-0.015851920964251143,-0.026017108630052466
2013-07-31,0.04236810651210118,0.032608588988579656,0.05389100019704962,0.045799897525160116
2013-08-30,-0.02517417078536722,-0.021671917885735636,-0.030374559362602804,-0.022948885416041342
2013-09-30,0.08447669069341918,0.042794729562143585,0.032393479901031696,0.055392456611450314
2013-10-31,0.032628686608581155,0.028319227475873898,0.04612218930227874,0.03950309860765078
2013-11-29,0.01363429214297987,0.005922621770075409,0.029826263368465833,0.015521758833459298
2013-12-31,0.017977693212030844,0.012179359490643415,0.025636264930297692,0.020692385358047183
2014-01-31,-0.04269523922912529,-0.029377147976166862,-0.034904277917651716,-0.04633819808348283
2014-02-28,0.03870669906966241,0.038740924939166366,0.04559914550219246,0.05204738848653556
2014-03-31,0.0012631678430352342,0.0018695832216264474,0.008740849406023932,0.005708433172982197
2014-04-30,0.023709716242580555,0.009048527262244699,0.007441310979366511,0.01186792149673721
2014-05-30,0.022209304308674696,0.02024904280108908,0.022844630200205884,0.02005749581114924
2014-06-30,0.00860370903792911,0.016258462874419122,0.02086161204026471,0.018182256781857697
2014-07-31,-0.004676810238434983,-0.012954223701255319,-0.013959340051187263,-0.01443739700828206
2014-08-29,0.0289307799916435,0.019971510122609448,0.03969108791648823,0.025761853545600566
