Date,ACWI,AGG,BIL,DBC,EEM,EWJ,GLD,GYLD,IEF,IEV,IVV,IYR,RWX,SHY,TLT,GAL
4/12/2001,,,,,,35.489838,,,,20.98568,84.869171,17.2693,,,,
4/16/2001,,,,,,34.781395,,,,20.498735,84.353836,17.433334,,,,
4/17/2001,,,,,,34.916344,,,,20.514441,85.26284,17.496614,,,,
4/18/2001,,,,,,37.412766,,,,21.205584,88.927589,17.716898,,,,
4/19/2001,,,,,,36.839272,,,,21.372095,89.836617,17.791899,,,,
4/20/2001,,,,,,36.400707,,,,21.324966,89.364235,17.721588,,,,
4/23/2001,,,,,,36.333237,,,,20.885153,87.596245,17.576296,,,,
4/24/2001,,,,,,36.366966,,,,20.98568,86.973557,17.665337,,,,
4/25/2001,,,,,,36.77179,,,,21.158461,88.168938,17.679411,,,,
4/26/2001,,,,,,36.77179,,,,21.299835,88.562592,17.932505,,,,
4/27/2001,,,,,,37.412766,,,,21.387798,89.994118,18.17857,,,,
4/30/2001,,,,,,37.851337,,,,21.500896,89.614738,18.129362,,,,
5/1/2001,,,,,,38.762192,,,,21.519749,91.031982,18.152798,,,,
5/2/2001,,,,,,38.897133,,,,21.645409,90.867348,18.115295,,,,
5/3/2001,,,,,,38.627251,,,,21.04851,89.772209,18.127016,,,,
5/4/2001,,,,,,38.728458,,,,21.425497,91.0821,18.042646,,,,
5/7/2001,,,,,,39.504375,,,,20.781475,90.330536,18.009832,,,,
5/8/2001,,,,,,38.728458,,,,21.262135,90.437912,17.880951,,,,
5/9/2001,,,,,,37.817596,,,,20.86944,90.079987,17.953598,,,,
5/10/2001,,,,,,37.682663,,,,21.488325,90.366302,17.98406,,,,
5/11/2001,,,,,,37.513977,,,,21.277847,89.586105,17.970001,,,,
5/14/2001,,,,,,36.906731,,,,20.947977,89.722137,17.962963,,,,
5/15/2001,,,,,,37.244087,,,,21.387798,89.700661,18.108259,,,,
5/16/2001,,,,,,37.142895,,,,21.623411,92.298889,18.15045,,,,
5/17/2001,,,,,,37.345299,,,,21.676819,92.592384,18.279346,,,,
5/18/2001,,,,,,37.075413,,,,21.786777,92.893028,18.396523,,,,
5/21/2001,,,,,,37.9188,,,,21.767933,94.245796,18.450426,,,,
5/22/2001,,,,,,37.345299,,,,21.676819,93.980965,18.537138,,,,
5/23/2001,,,,,,37.783875,,,,21.434925,92.606697,18.64258,,,,
5/24/2001,,,,,,37.783875,,,,21.566872,92.885849,18.705856,,,,
5/25/2001,,,,,,37.513977,,,,21.054794,91.740608,18.654301,,,,
5/29/2001,,,,,,36.873001,,,,21.032799,91.031982,18.595709,,,,
5/30/2001,,,,,,36.603123,,,,20.885153,89.693504,18.466831,,,,
5/31/2001,,,,,,36.738064,,,,21.017097,89.994118,18.544159,,,,
6/1/2001,,,,,,36.501915,,,,20.718641,90.824402,18.560558,,,,
6/4/2001,,,,,,36.636845,,,,20.74378,90.960411,18.614462,,,,
6/5/2001,,,,,,36.535652,,,,21.02652,92.227333,18.724606,,,,
6/6/2001,,,,,,36.029613,,,,20.838024,91.303978,18.794912,,,,
6/7/2001,,,,,,36.265755,,,,20.875723,91.711983,18.8207,,,,
6/8/2001,,,,,,36.232025,,,,20.812891,91.010521,18.788511,,,,
6/11/2001,,,,,,35.422379,,,,20.370651,90.272652,18.94943,,,,
6/12/2001,,,,,,34.950077,,,,20.32317,90.143463,19.110367,,,,
6/13/2001,,,,,,34.916344,,,,20.19338,89.404182,19.157694,,,,
6/14/2001,,,,,,34.545254,,,,20.228203,87.286766,19.100897,,,,
6/15/2001,,,,,,34.106682,,,,20.095249,87.451836,19.037003,,,,
6/18/2001,,,,,,34.174156,,,,19.90848,86.813042,19.141136,,,,
6/19/2001,,,,,,33.971737,,,,20.019272,87.100143,19.122198,,,,
6/20/2001,,,,,,34.00547,,,,19.728039,87.76767,19.302063,,,,
6/21/2001,,,,,,34.747662,,,,19.936968,88.77253,19.375427,,,,
6/22/2001,,,,,,34.578979,,,,19.984451,88.198326,19.287868,,,,
6/25/2001,,,,,,34.342834,,,,19.854668,87.681557,19.174261,,,,
6/26/2001,,,,,,34.444038,,,,19.778685,87.22216,19.39436,,,,
6/27/2001,,,,,,34.275356,,,,19.895811,87.071426,19.299696,,,,
6/28/2001,,,,,,34.410305,,,,19.785021,88.148094,19.465357,,,,
6/29/2001,,,,,,34.511513,,,,20.006611,88.061943,19.484287,,,,
7/2/2001,,,,,,34.444038,,,,20.250366,88.93763,19.631014,,,,
7/3/2001,,,,,,34.342834,,,,19.940134,89.002235,19.654684,,,,
7/5/2001,,,,,,33.26329,,,,19.462128,87.566719,19.583693,,,,
7/6/2001,,,,,,32.419903,,,,19.310181,85.312958,19.555286,,,,
7/9/2001,,,,,,32.858459,,,,19.275352,85.901527,19.205032,,,,
7/10/2001,,,,,,32.554848,,,,19.158232,84.925316,19.231064,,,,
7/11/2001,,,,,,32.689789,,,,19.303846,84.896629,19.074862,,,,
7/12/2001,,,,,,33.600651,,,,19.151899,86.978111,19.261831,,,,
7/13/2001,,,,,,33.027153,,,,19.310181,87.566719,19.339924,,,,
7/16/2001,,,,,,32.554848,,,,19.199383,86.655151,19.318626,,,,
7/17/2001,,,,,,32.45364,,,,19.056934,87.351372,19.328094,,,,
7/18/2001,,,,,,31.913874,,,,19.19622,86.770012,19.451159,,,,
7/19/2001,,,,,,32.217491,,,,19.376654,87.128868,19.361229,,,,
7/20/2001,,,,,,32.251228,,,,19.205715,87.028366,19.311529,,,,
7/23/2001,,,,,,31.036749,,,,19.300684,85.413399,19.287868,,,,
7/24/2001,,,,,,31.104227,,,,19.050604,84.458809,19.134026,,,,
7/25/2001,,,,,,31.981346,,,,18.987289,85.592834,19.110367,,,,
7/26/2001,,,,,,31.576513,,,,18.99362,86.683815,19.238155,,,,
7/27/2001,,,,,,32.183754,,,,19.398817,86.741272,19.261831,,,,
7/30/2001,,,,,,31.137955,,,,19.591919,86.683815,19.09853,,,,
7/31/2001,,,,,,31.711454,,,,19.87999,87.06427,19.148232,,,,
8/1/2001,,,,,,32.284966,,,,19.924303,87.63131,19.228701,,,,
8/2/2001,,,,,,33.027153,,,,20.054089,87.911224,19.344664,,,,
8/3/2001,,,,,,32.554848,,,,19.709049,87.516464,19.441692,,,,
8/6/2001,,,,,,32.352425,,,,19.813509,86.375229,19.489023,,,,
8/7/2001,,,,,,32.656055,,,,19.503277,86.726906,19.503225,,,,
8/8/2001,,,,,,32.352425,,,,19.224707,85.083237,19.555286,,,,
8/9/2001,,,,,,32.251228,,,,19.351332,85.255493,19.642849,,,,
8/10/2001,,,,,,32.048817,,,,19.338671,85.786644,19.761183,,,,
8/13/2001,,,,,,31.846394,,,,19.658396,85.779488,19.768284,,,,
8/14/2001,,,,,,32.48737,,,,19.633066,85.628738,19.862947,,,,
8/15/2001,,,,,,32.48737,,,,19.658396,84.810501,19.957615,,,,
8/16/2001,,,,,,32.588581,,,,19.702711,85.104774,20.073568,,,,
8/17/2001,,,,,,31.576513,,,,19.288021,83.827171,20.104347,,,,
8/20/2001,,,,,,31.711454,,,,19.49695,84.293709,20.163502,,,,
8/21/2001,,,,,,31.880136,,,,19.452629,83.260139,20.359934,,,,
8/22/2001,,,,,,32.183754,,,,19.446304,84.006615,20.329166,,,,
8/23/2001,,,,,,31.576513,,,,19.474791,83.733887,20.270002,,,,
8/24/2001,,,,,,32.048817,,,,19.823006,85.190926,20.080675,,,,
8/27/2001,,,,,,31.778933,,,,19.816673,84.954056,20.189539,,,,
8/28/2001,,,,,,31.407837,,,,19.563427,83.726662,20.092508,,,,
8/29/2001,,,,,,30.901806,,,,19.484289,82.894096,19.851114,,,,
8/30/2001,,,,,,30.362032,,,,19.19622,81.236069,19.716211,,,,
8/31/2001,,,,,,30.834339,,,,19.310181,81.989708,19.666513,,,,
9/4/2001,,,,,,30.227089,,,,18.781523,81.451378,19.678352,,,,
9/5/2001,,,,,,29.653587,,,,18.686554,81.501648,19.51742,,,,
9/6/2001,,,,,,29.248764,,,,18.401646,79.79335,19.342293,,,,
9/7/2001,,,,,,29.18129,,,,17.793858,78.085083,19.216866,,,,
9/10/2001,,,,,,29.012608,,,,18.138903,78.989464,19.129295,,,,
9/17/2001,,,,,,27.966803,,,,17.094261,74.934151,18.388548,,,,
9/18/2001,,,,,,28.034283,,,,16.834677,74.35994,18.65361,,,,
