,Average,bmGAL,bmIVV,bmACWI,bm_60_40
2001-01-31,-0.000625,,,,
2001-02-28,-0.000625,,-0.09371790175094019,,
2001-03-30,-0.000625,,-0.057385687301648725,,
2001-04-30,-0.000625,,0.07265253737618216,,
2001-05-31,-0.000625,,0.004233455438992673,,
2001-06-29,-0.000625,,-0.02147001429582318,,
2001-07-31,-0.000625,,-0.011329218570614641,,
2001-08-31,-0.000625,,-0.05828524146587344,,
2001-09-28,-0.000625,,-0.0860541788976733,,
2001-10-31,-0.000625,,0.01780696761347178,,
2001-11-30,-0.000625,,0.07764969708792346,,
2001-12-31,-0.000625,,0.005217449895533743,,
2002-01-31,-0.000625,,-0.010408710393289056,,
2002-02-28,-0.0022705698674317693,,-0.018560721745302322,,
2002-03-29,0.06753361275435406,,0.03366032181147638,,
2002-04-30,0.008153509886075952,,-0.05712297982011649,,
2002-05-31,-0.0010522728521046207,,-0.008059014775418816,,
2002-06-28,-0.025447833133079988,,-0.07185946133538135,,
2002-07-31,-0.05339070846308367,,-0.07766049640507988,,
2002-08-30,-0.0003384576731265452,,0.0047077669021053925,,
2002-09-30,-0.05198705848397672,,-0.10361682281720552,,
2002-10-31,-0.0011108275052865604,,0.08316032259593609,,
2002-11-29,0.05197004322897579,,0.057272055659390864,,
2002-12-31,-0.04305271027147177,,-0.05342041980869883,,
2003-01-31,-0.031039845943349555,,-0.024674151209226114,,
2003-02-28,-0.000625,,-0.013925814807573045,,
2003-03-31,-0.000625,,0.0021395726673185678,,
2003-04-30,0.03782755835497976,,0.0848958981978154,,
2003-05-30,0.06158311645383062,,0.05412446855848008,,
2003-06-30,0.016846386360273788,,0.011874461403225123,,
2003-07-31,0.039651368731301956,,0.017181412631878556,,
2003-08-29,0.025244011001453202,,0.018801792951279817,,
2003-09-30,-0.003117411025720726,,-0.010049363571579262,,
2003-10-31,0.034775747724833946,,0.054054391432991844,,
2003-11-28,0.00931340429984314,,0.01215572585943514,,
2003-12-31,0.047194954100154486,,0.052326996737545706,,
2004-01-30,0.02723038455392832,,0.02148907292760671,,
2004-02-27,0.019497681712281587,,0.012586918838010552,,
2004-03-31,0.005363709437618829,,-0.01228724180120433,,
2004-04-30,-0.0736892886839573,,-0.018722929251671627,,
2004-05-31,0.013711789567687396,,0.01673983545308344,,
2004-06-30,0.03113609429274803,,0.017771548558943584,,
2004-07-30,-0.05371357037569501,,-0.03133460971377411,,
2004-08-31,0.0349780378266907,,0.0019825138921869545,,
2004-09-30,-0.004649911671508896,,0.009579765342126123,,
2004-10-29,0.013620312111827912,,0.012522075652112497,,
2004-11-30,-0.005697148479141331,,0.04434604009103693,,
2004-12-31,0.042404178273886636,,0.030663437833420737,,
2005-01-31,-0.03616085637894707,,-0.022396454161288215,,
2005-02-28,0.030907807202843876,,0.020796141919723565,,
2005-03-31,-0.03584831800509709,,-0.01808420397606869,,
2005-04-29,-0.028359474978506386,,-0.01799322031978612,,
2005-05-31,0.030939150033166274,,0.03146063553281153,,
2005-06-30,0.011727739227318814,,0.0012526784141830838,,
2005-07-29,0.012148388348988879,,0.038535927708380324,,
2005-08-31,-0.018346540726246335,,-0.00970124337801792,,
2005-09-30,-0.0021799118604058088,,0.00824646398136819,,
2005-10-31,-0.04211801099513668,,-0.021463568355563623,,
2005-11-30,0.032152228011901325,,0.04162544552980596,,
2005-12-30,0.05254435555340228,,-0.0015535044640332396,,
2006-01-31,0.07796290396698272,,0.024704780694695394,,
2006-02-28,-0.01411922373438416,,0.005322850167137849,,
2006-03-31,0.0328248106408647,,0.01561995266468208,,
2006-04-28,0.02250866754756062,,0.012931097156893445,,
2006-05-31,-0.029431717809950013,,-0.029255365677881895,,
2006-06-30,-0.0009201242122601538,,0.00266135791447053,,
2006-07-31,0.00936790988647733,,0.003919838306720047,,
2006-08-31,0.014257436048740718,,0.022022734327902915,,
2006-09-29,-0.0033310691893778163,,0.02673417029122671,,
2006-10-31,0.022074866217803035,,0.03207468534402613,,
2006-11-30,0.01834968351199511,,0.019632592939954563,,
2006-12-29,-0.0006026171030370156,,0.0138942380649838,,
2007-01-31,0.007245891931954626,,0.014295845615139635,,
2007-02-28,-0.007470579891882782,,-0.018954436663104812,,
2007-03-30,-0.0017455145520360125,,0.011854202493948307,,
2007-04-30,0.008356352844179692,,0.043136557733655545,,
2007-05-31,0.019894971281680763,,0.03414584247253405,,
2007-06-29,-0.0035694913720767077,,-0.015457788757053836,,
2007-07-31,-0.01624508990911056,,-0.03189184861001981,,
2007-08-31,0.0004842857755516316,,0.01310804122111442,,
2007-09-28,0.06662551484657951,,0.0409348448547191,,
2007-10-31,0.058339896094966405,,0.014120580877670097,,
2007-11-30,-0.03529859855980433,,-0.041126461520335944,,
2007-12-31,7.554408442480263e-05,,-0.00826010707279079,,
2008-01-31,0.021828234718645655,,-0.06269596688306356,,
2008-02-29,0.016251411287932383,,-0.02755592340274715,,
2008-03-31,-0.014612576521485248,,-0.006315366120868249,,
2008-04-30,-0.003654983709958619,,0.048249308953364656,0.0796838441111476,0.04912039107611048
2008-05-30,0.011755980050355047,,0.01284163635363278,0.008638507208174717,0.00012244020495102374
2008-06-30,0.0558467947381153,,-0.08388355318752683,-0.07987350304027874,-0.04866371594459082
2008-07-31,-0.052566830342457314,,-0.0074219730654130345,-0.03156599603849897,-0.017364155960513616
2008-08-29,-0.016603154036162984,,0.014876264819348783,-0.0167154284341966,-0.007061434815967526
2008-09-30,-0.015181324882947177,,-0.0888155353417669,-0.12260976820500458,-0.08060475846223408
