Date,ACWI,AGG,BIL,DBC,EEM,EWJ,GAL,GLD,GYLD,HDV,IEF,IEV,IJH,IJR,IXUS,IYR,RWX,SHY,SPY,TLT
2001-03-14,,,,,,30.901806,,,,,,20.451611,37.921188,14.142576000000002,,17.473173000000003,,,84.140411,
2001-03-15,,,,,,32.521118,,,,,,20.420198000000003,37.652382,14.096926000000002,,17.435684,,,84.16190300000001,
2001-03-16,,,,,,32.386173,,,,,,19.851572,36.781799,13.774657000000001,,17.318504,,,82.473801,
2001-03-19,,,,,,32.791,,,,,,19.886126,37.772751,14.128741,,17.470835,,,84.151855,
2001-03-20,,,,,,32.554848,,,,,,20.036924,36.982384,13.859034,,17.634878,,,81.89298199999999,
2001-03-21,,,,,,34.140419,,,,,,19.62538,36.099743,13.644644,,17.316162,,,80.501801,
2001-03-22,,,,,,33.7356,,,,,,19.14786,35.746681,13.485584,,17.156797,,,79.68431899999999,
2001-03-23,,,,,,35.354904,,,,,,19.477728,36.673466,13.879779000000001,,17.210701,,,82.093758,
2001-03-26,,,,,,36.265755,,,,,,20.225417999999998,36.970352,13.990429,,17.510679,,,83.140739,
2001-03-27,,,,,,37.176617,,,,,,20.66209,37.451794,14.20481,,17.505991,,,84.84026300000001,
2001-03-28,,,,,,36.029613,,,,,,20.102898,36.753704,13.810619,,17.447405,,,82.495354,
2001-03-29,,,,,,34.950077,,,,,,19.977234,36.476879,13.713799,,17.505991,,,82.81088299999999,
2001-03-30,,,,,,34.545254,,,,,,20.256832,36.781799,14.038839999999999,,17.562229000000002,,,83.678551,
2001-04-02,,,,,,33.938007,,,,,,19.911261,35.987404,13.644644,,17.646595,,,81.89298199999999,
2001-04-03,,,,,,34.309096999999994,,,,,,19.45887,34.904194,13.213106,,17.459112,,,79.16082,
2001-04-04,,,,,,35.253689,,,,,,19.776176,34.707603000000006,13.207573000000002,,17.442711,,,79.4907,
2001-04-05,,,,,,36.434444,,,,,,20.420198000000003,36.432751,13.885307000000001,,17.716898,,,82.502502,
