Date,ACWI,AGG,BIL,DBC,EEM,EMB,EWJ,GAL,GLD,GYLD,HDV,HYG,IEF,IEV,IJH,IJR,IVV,IXUS,IYLD,IYR,RWX,SHY,TLT,MAHIP
3/14/2001,,,,,,,30.901806,,,,,,,20.451611,37.921188,14.142576,83.645187,,,17.473173,,,,
3/15/2001,,,,,,,32.521118,,,,,,,20.420198,37.652382,14.096926,84.031761,,,17.435684,,,,
3/16/2001,,,,,,,32.386173,,,,,,,19.851572,36.781799,13.774657,82.485649,,,17.318504,,,,
3/19/2001,,,,,,,32.791,,,,,,,19.886126,37.772751,14.128741,83.974495,,,17.470835,,,,
3/20/2001,,,,,,,32.554848,,,,,,,20.036924,36.982384,13.859034,81.920204,,,17.634878,,,,
3/21/2001,,,,,,,34.140419,,,,,,,19.62538,36.099743,13.644644,80.517273,,,17.316162,,,,
3/22/2001,,,,,,,33.7356,,,,,,,19.14786,35.746681,13.485584,79.958961,,,17.156797,,,,
3/23/2001,,,,,,,35.354904,,,,,,,19.477728,36.673466,13.879779,81.91304,,,17.210701,,,,
3/26/2001,,,,,,,36.265755,,,,,,,20.225418,36.970352,13.990429,82.879356,,,17.510679,,,,
3/27/2001,,,,,,,37.176617,,,,,,,20.66209,37.451794,14.20481,84.661606,,,17.505991,,,,
3/28/2001,,,,,,,36.029613,,,,,,,20.102898,36.753704,13.810619,82.542946,,,17.447405,,,,
3/29/2001,,,,,,,34.950077,,,,,,,19.977234,36.476879,13.713799,82.557259,,,17.505991,,,,
3/30/2001,,,,,,,34.545254,,,,,,,20.256832,36.781799,14.03884,83.544983,,,17.562229,,,,
4/2/2001,,,,,,,33.938007,,,,,,,19.911261,35.987404,13.644644,81.777046,,,17.646595,,,,
4/3/2001,,,,,,,34.309097,,,,,,,19.45887,34.904194,13.213106,78.971237,,,17.459112,,,,
4/4/2001,,,,,,,35.253689,,,,,,,19.776176,34.707603,13.207573,79.171608,,,17.442711,,,,
4/5/2001,,,,,,,36.434444,,,,,,,20.420198,36.432751,13.885307,82.306709,,,17.716898,,,,
4/6/2001,,,,,,,35.692265,,,,,,,20.102898,35.786819,13.52293,81.147171,,,17.541143,,,,
4/9/2001,,,,,,,34.477779,,,,,,,20.325943,36.312386,13.810619,81.361893,,,17.578632,,,,
4/10/2001,,,,,,,34.950077,,,,,,,20.702936,37.435745,14.131509,83.623734,,,17.646595,,,,
4/11/2001,,,,,,,34.747662,,,,,,,20.728073,37.403648,14.011177,83.673836,,,17.297415,,,,
4/12/2001,,,,,,,35.489838,,,,,,,20.98568,38.065613,14.211731,84.869171,,,17.2693,,,,
4/16/2001,,,,,,,34.781395,,,,,,,20.498735,37.363518,13.947556,84.353836,,,17.433334,,,,
4/17/2001,,,,,,,34.916344,,,,,,,20.514441,38.037544,14.246305,85.26284,,,17.496614,,,,
4/18/2001,,,,,,,37.412766,,,,,,,21.205584,39.48988,14.556128,88.927589,,,17.716898,,,,
4/19/2001,,,,,,,36.839272,,,,,,,21.372095,39.879036,14.730405,89.836617,,,17.791899,,,,
4/20/2001,,,,,,,36.400707,,,,,,,21.324966,39.429695,14.495276,89.364235,,,17.721588,,,,
4/23/2001,,,,,,,36.333237,,,,,,,20.885153,38.936214,14.343127,87.596245,,,17.576296,,,,
4/24/2001,,,,,,,36.366966,,,,,,,20.98568,38.651371,14.34174,86.973557,,,17.665337,,,,
4/25/2001,,,,,,,36.77179,,,,,,,21.158461,39.590183,14.716576,88.168938,,,17.679411,,,,
4/26/2001,,,,,,,36.77179,,,,,,,21.299835,40.079632,14.91575,88.562592,,,17.932505,,,,
4/27/2001,,,,,,,37.412766,,,,,,,21.387798,40.645321,15.121833,89.994118,,,18.17857,,,,
4/30/2001,,,,,,,37.851337,,,,,,,21.500896,40.942219,15.141195,89.614738,,,18.129362,,,,
5/1/2001,,,,,,,38.762192,,,,,,,21.519749,41.327358,15.280894,91.031982,,,18.152798,,,,
5/2/2001,,,,,,,38.897133,,,,,,,21.645409,41.12677,15.240788,90.867348,,,18.115295,,,,
5/3/2001,,,,,,,38.627251,,,,,,,21.04851,40.488865,15.066504,89.772209,,,18.127016,,,,
5/4/2001,,,,,,,38.728458,,,,,,,21.425497,41.122757,15.254616,91.0821,,,18.042646,,,,
5/7/2001,,,,,,,39.504375,,,,,,,20.781475,41.082638,15.138435,90.330536,,,18.009832,,,,
5/8/2001,,,,,,,38.728458,,,,,,,21.262135,41.110718,15.268442,90.437912,,,17.880951,,,,
5/9/2001,,,,,,,37.817596,,,,,,,20.86944,40.994366,15.207595,90.079987,,,17.953598,,,,
5/10/2001,,,,,,,37.682663,,,,,,,21.488325,40.962269,15.242159,90.366302,,,17.98406,,,,
5/11/2001,,,,,,,37.513977,,,,,,,21.277847,40.781727,15.134275,89.586105,,,17.970001,,,,
5/14/2001,,,,,,,36.906731,,,,,,,20.947977,40.753643,15.16748,89.722137,,,17.962963,,,,
5/15/2001,,,,,,,37.244087,,,,,,,21.387798,40.98634,15.311325,89.700661,,,18.108259,,,,
5/16/2001,,,,,,,37.142895,,,,,,,21.623411,42.025444,15.594867,92.298889,,,18.15045,,,,
5/17/2001,,,,,,,37.345299,,,,,,,21.676819,42.615211,15.780205,92.592384,,,18.279346,,,,
5/18/2001,,,,,,,37.075413,,,,,,,21.786777,42.707474,15.870111,92.893028,,,18.396523,,,,
5/21/2001,,,,,,,37.9188,,,,,,,21.767933,43.710457,16.164719,94.245796,,,18.450426,,,,
5/22/2001,,,,,,,37.345299,,,,,,,21.676819,43.670341,16.293348,93.980965,,,18.537138,,,,
5/23/2001,,,,,,,37.783875,,,,,,,21.434925,42.727539,15.85628,92.606697,,,18.64258,,,,
5/24/2001,,,,,,,37.783875,,,,,,,21.566872,42.867966,15.867342,92.885849,,,18.705856,,,,
5/25/2001,,,,,,,37.513977,,,,,,,21.054794,42.815804,15.836921,91.740608,,,18.654301,,,,
5/29/2001,,,,,,,36.873001,,,,,,,21.032799,42.177895,15.622531,91.031982,,,18.595709,,,,
5/30/2001,,,,,,,36.603123,,,,,,,20.885153,41.28323,15.341757,89.693504,,,18.466831,,,,
5/31/2001,,,,,,,36.738064,,,,,,,21.017097,41.84491,15.449635,89.994118,,,18.544159,,,,
6/1/2001,,,,,,,36.501915,,,,,,,20.718641,42.374474,15.557524,90.824402,,,18.560558,,,,
6/4/2001,,,,,,,36.636845,,,,,,,20.74378,42.615211,15.749778,90.960411,,,18.614462,,,,
6/5/2001,,,,,,,36.535652,,,,,,,21.02652,43.357422,15.995976,92.227333,,,18.724606,,,,
6/6/2001,,,,,,,36.029613,,,,,,,20.838024,42.799744,15.828619,91.303978,,,18.794912,,,,
6/7/2001,,,,,,,36.265755,,,,,,,20.875723,43.048496,15.966934,91.711983,,,18.8207,,,,
6/8/2001,,,,,,,36.232025,,,,,,,20.812891,42.683399,15.832767,91.010521,,,18.788511,,,,
6/11/2001,,,,,,,35.422379,,,,,,,20.370651,42.186371,15.748036,90.272652,,,18.94943,,,,
6/12/2001,,,,,,,34.950077,,,,,,,20.32317,42.170296,15.738346,90.143463,,,19.110367,,,,
6/13/2001,,,,,,,34.916344,,,,,,,20.19338,41.748386,15.663586,89.404182,,,19.157694,,,,
6/14/2001,,,,,,,34.545254,,,,,,,20.228203,40.804127,15.328544,87.286766,,,19.100897,,,,
6/15/2001,,,,,,,34.106682,,,,,,,20.095249,40.824226,15.249639,87.451836,,,19.037003,,,,
6/18/2001,,,,,,,34.174156,,,,,,,19.90848,40.623306,15.12504,86.813042,,,19.141136,,,,
6/19/2001,,,,,,,33.971737,,,,,,,20.019272,40.470615,15.083504,87.100143,,,19.122198,,,,
6/20/2001,,,,,,,34.00547,,,,,,,19.728039,41.109501,15.215025,87.76767,,,19.302063,,,,
6/21/2001,,,,,,,34.747662,,,,,,,19.936968,41.165745,15.323013,88.77253,,,19.375427,,,,
6/22/2001,,,,,,,34.578979,,,,,,,19.984451,40.542934,15.029512,88.198326,,,19.287868,,,,
6/25/2001,,,,,,,34.342834,,,,,,,19.854668,40.430447,15.007364,87.681557,,,19.174261,,,,
6/26/2001,,,,,,,34.444038,,,,,,,19.778685,40.579113,15.145801,87.22216,,,19.39436,,,,
6/27/2001,,,,,,,34.275356,,,,,,,19.895811,40.763939,15.343781,87.071426,,,19.299696,,,,
6/28/2001,,,,,,,34.410305,,,,,,,19.785021,41.169781,15.574983,88.148094,,,19.465357,,,,
6/29/2001,,,,,,,34.511513,,,,,,,20.006611,41.68409,15.784039,88.061943,,,19.484287,,,,
7/2/2001,,,,,,,34.444038,,,,,,,20.250366,41.366673,15.713431,88.93763,,,19.631014,,,,
7/3/2001,,,,,,,34.342834,,,,,,,19.940134,41.507286,15.644205,89.002235,,,19.654684,,,,
7/5/2001,,,,,,,33.26329,,,,,,,19.462128,41.153694,15.525143,87.566719,,,19.583693,,,,
7/6/2001,,,,,,,32.419903,,,,,,,19.310181,40.60321,15.253789,85.312958,,,19.555286,,,,
7/9/2001,,,,,,,32.858459,,,,,,,19.275352,40.346054,15.271791,85.901527,,,19.205032,,,,
7/10/2001,,,,,,,32.554848,,,,,,,19.158232,39.948273,15.06827,84.925316,,,19.231064,,,,
7/11/2001,,,,,,,32.689789,,,,,,,19.303846,39.831734,15.13888,84.896629,,,19.074862,,,,
7/12/2001,,,,,,,33.600651,,,,,,,19.151899,40.743843,15.518224,86.978111,,,19.261831,,,,
7/13/2001,,,,,,,33.027153,,,,,,,19.310181,40.916626,15.602672,87.566719,,,19.339924,,,,
7/16/2001,,,,,,,32.554848,,,,,,,19.199383,40.32999,15.433766,86.655151,,,19.318626,,,,
7/17/2001,,,,,,,32.45364,,,,,,,19.056934,40.840279,15.628974,87.351372,,,19.328094,,,,
7/18/2001,,,,,,,31.913874,,,,,,,19.19622,40.611256,15.471148,86.770012,,,19.451159,,,,
7/19/2001,,,,,,,32.217491,,,,,,,19.376654,40.836273,15.609591,87.128868,,,19.361229,,,,
7/20/2001,,,,,,,32.251228,,,,,,,19.205715,40.952805,15.642817,87.028366,,,19.311529,,,,
7/23/2001,,,,,,,31.036749,,,,,,,19.300684,40.502785,15.485003,85.413399,,,19.287868,,,,
7/24/2001,,,,,,,31.104227,,,,,,,19.050604,39.715221,15.249639,84.458809,,,19.134026,,,,
7/25/2001,,,,,,,31.981346,,,,,,,18.987289,40.129082,15.298093,85.592834,,,19.110367,,,,
7/26/2001,,,,,,,31.576513,,,,,,,18.99362,40.607239,15.609591,86.683815,,,19.238155,,,,
7/27/2001,,,,,,,32.183754,,,,,,,19.398817,41.077362,15.673283,86.741272,,,19.261831,,,,
7/30/2001,,,,,,,31.137955,,,,,,,19.591919,40.912617,15.69266,86.683815,,,19.09853,,,,
7/31/2001,,,,,,,31.711454,,,,,,,19.87999,40.872437,15.678815,87.06427,,,19.148232,,,,
8/1/2001,,,,,,,32.284966,,,,,,,19.924303,41.238087,15.745275,87.63131,,,19.228701,,,,
8/2/2001,,,,,,,33.027153,,,,,,,20.054089,41.222015,15.767426,87.911224,,,19.344664,,,,
8/3/2001,,,,,,,32.554848,,,,,,,19.709049,41.246128,15.735573,87.516464,,,19.441692,,,,
8/6/2001,,,,,,,32.352425,,,,,,,19.813509,40.583126,15.498844,86.375229,,,19.489023,,,,
8/7/2001,,,,,,,32.656055,,,,,,,19.503277,40.502785,15.501603,86.726906,,,19.503225,,,,
8/8/2001,,,,,,,32.352425,,,,,,,19.224707,39.944248,15.271791,85.083237,,,19.555286,,,,
8/9/2001,,,,,,,32.251228,,,,,,,19.351332,39.831734,15.3327,85.255493,,,19.642849,,,,
8/10/2001,,,,,,,32.048817,,,,,,,19.338671,40.141132,15.375628,85.786644,,,19.761183,,,,
8/13/2001,,,,,,,31.846394,,,,,,,19.658396,40.426426,15.485003,85.779488,,,19.768284,,,,
8/14/2001,,,,,,,32.48737,,,,,,,19.633066,40.559025,15.58052,85.628738,,,19.862947,,,,
8/15/2001,,,,,,,32.48737,,,,,,,19.658396,40.410336,15.616517,84.810501,,,19.957615,,,,
8/16/2001,,,,,,,32.588581,,,,,,,19.702711,40.450531,15.745275,85.104774,,,20.073568,,,,
8/17/2001,,,,,,,31.576513,,,,,,,19.288021,39.711193,15.591596,83.827171,,,20.104347,,,,
8/20/2001,,,,,,,31.711454,,,,,,,19.49695,39.984436,15.651132,84.293709,,,20.163502,,,,
8/21/2001,,,,,,,31.880136,,,,,,,19.452629,39.638866,15.455925,83.260139,,,20.359934,,,,
8/22/2001,,,,,,,32.183754,,,,,,,19.446304,40.036674,15.613753,84.006615,,,20.329166,,,,
8/23/2001,,,,,,,31.576513,,,,,,,19.474791,40.00853,15.451768,83.733887,,,20.270002,,,,
8/24/2001,,,,,,,32.048817,,,,,,,19.823006,40.434444,15.660817,85.190926,,,20.080675,,,,
8/27/2001,,,,,,,31.778933,,,,,,,19.816673,40.55098,15.634519,84.954056,,,20.189539,,,,
8/28/2001,,,,,,,31.407837,,,,,,,19.563427,40.016586,15.485003,83.726662,,,20.092508,,,,
8/29/2001,,,,,,,30.901806,,,,,,,19.484289,39.847797,15.44484,82.894096,,,19.851114,,,,
8/30/2001,,,,,,,30.362032,,,,,,,19.19622,39.381695,15.329933,81.236069,,,19.716211,,,,
8/31/2001,,,,,,,30.834339,,,,,,,19.310181,39.747353,15.396386,81.989708,,,19.666513,,,,
9/4/2001,,,,,,,30.227089,,,,,,,18.781523,39.566547,15.325786,81.451378,,,19.678352,,,,
9/5/2001,,,,,,,29.653587,,,,,,,18.686554,39.100445,15.203954,81.501648,,,19.51742,,,,
9/6/2001,,,,,,,29.248764,,,,,,,18.401646,38.429413,14.917379,79.79335,,,19.342293,,,,
9/7/2001,,,,,,,29.18129,,,,,,,17.793858,37.854809,14.664019,78.085083,,,19.216866,,,,
9/10/2001,,,,,,,29.012608,,,,,,,18.138903,37.545418,14.463273,78.989464,,,19.129295,,,,
9/17/2001,,,,,,,27.966803,,,,,,,17.094261,35.881905,13.740596,74.934151,,,18.388548,,,,
9/18/2001,,,,,,,28.034283,,,,,,,16.834677,35.239017,13.436019,74.35994,,,18.65361,,,,
9/19/2001,,,,,,,28.540314,,,,,,,16.682728,34.01347,13.172976,73.247398,,,18.435884,,,,
9/20/2001,,,,,,,27.595716,,,,,,,15.954642,33.2621,12.667649,71.094101,,,18.014627,,,,
9/21/2001,,,,,,,27.32583,,,,,,,15.315187,32.566948,12.418451,69.802147,,,17.524742,,,,
9/24/2001,,,,,,,28.337896,,,,,,,16.084429,33.551407,12.861473,72.249687,,,17.820564,,,,
9/25/2001,,,,,,,28.169218,,,,,,,16.492794,33.724167,13.006841,73.032074,,,18.026455,,,,
9/26/2001,,,,,,,27.764391,,,,,,,16.666899,33.430862,12.803329,72.673187,,,18.412228,,,,
9/27/2001,,,,,,,27.460773,,,,,,,16.888491,33.993404,12.944543,73.39093,,,18.459551,,,,
9/28/2001,,,,,,,28.337896,,,,,,,17.205057,34.817104,13.221433,74.934151,,,18.757736,,,,
10/1/2001,,,,,,,28.169218,,,,,,,17.030939,34.081799,12.980542,75.106392,,,18.349546,,,,
10/2/2001,,,,,,,28.843931,,,,,,,17.205379,34.520084,13.150219,76.016342,,,18.226158,,,,
10/3/2001,,,,,,,29.113823,,,,,,,17.411907,35.523178,13.583104,77.34922,,,17.877283,,,,
10/4/2001,,,,,,,29.012608,,,,,,,17.554893,35.720577,13.621953,77.435646,,,18.109861,,,,
10/5/2001,,,,,,,28.675257,,,,,,,17.748711,35.511082,13.62611,77.241127,,,17.988825,,,,
10/8/2001,,,,,,,28.776457,,,,,,,17.647032,35.148533,13.490146,76.729599,,,17.988825,,,,
10/9/2001,,,,,,,28.236692,,,,,,,17.535828,35.245213,13.395793,76.333359,,,18.031548,,,,
10/10/2001,,,,,,,28.574047,,,,,,,18.142698,36.135513,13.752367,77.983208,,,18.275986,,,,
10/11/2001,,,,,,,29.18129,,,,,,,18.037851,36.945244,14.118655,79.229614,,,18.415998,,,,
10/12/2001,,,,,,,29.18129,,,,,,,17.939352,36.63908,13.968821,78.86937,,,18.439724,,,,
10/15/2001,,,,,,,28.911406,,,,,,,17.669273,36.570587,14.02986,78.653214,,,18.463474,,,,
10/16/2001,,,,,,,29.147552,,,,,,,17.872627,36.949284,14.168606,79.193604,,,18.297344,,,,
10/17/2001,,,,,,,29.046358,,,,,,,17.878983,35.966324,13.806476,77.745476,,,18.181057,,,,
10/18/2001,,,,,,,28.843931,,,,,,,17.818613,35.664185,13.707971,77.363609,,,18.036285,,,,
10/19/2001,,,,,,,28.87767,,,,,,,17.532652,36.115364,13.893894,77.291557,,,17.87966,,,,
10/22/2001,,,,,,,29.147552,,,,,,,17.681984,36.719658,14.065932,78.840546,,,17.725405,,,,
