Date,Average,bench_mark,EW,alt_Average
1998-01-30,-0.00083,,,-0.00083
1998-02-27,-0.00083,,0.08997185135642899,-0.00083
1998-03-31,-0.00083,,0.04662736738352205,-0.00083
1998-04-30,-0.00083,,0.058731719128824716,-0.00083
1998-05-29,-0.00083,,-0.10587220800501304,-0.00083
1998-06-30,-0.00083,,0.015207969376702817,-0.00083
1998-07-31,-0.00083,,0.004434774473873542,-0.00083
1998-08-31,-0.00083,,-0.21053560919835737,-0.00083
1998-09-30,-0.00083,,0.15969417414099413,-0.00083
1998-10-30,-0.00083,,0.15097647673877268,-0.00083
1998-11-30,-0.00083,,0.13648941557271643,-0.00083
1998-12-31,-0.00083,,0.15391735827757866,-0.00083
1999-01-29,-0.00083,,0.13161247325515585,-0.00083
1999-02-26,-0.00083,,-0.09853614493122605,-0.00083
1999-03-31,-0.00083,,0.056289523929010876,-0.00083
1999-04-30,-0.00083,,0.030324332359847,-0.00083
1999-05-31,-0.00083,,0.015576916386454134,-0.00083
1999-06-30,-0.00083,,0.15787662466629387,-0.00083
1999-07-30,-0.00083,,0.018960506651964994,-0.00083
1999-08-31,-0.00083,,0.0821907084944308,-0.00083
1999-09-30,-0.00083,,-0.0046424710934950915,-0.00083
1999-10-29,-0.00083,,0.10949686703098566,-0.00083
1999-11-30,-0.00083,,0.20235450524041085,-0.00083
1999-12-31,-0.00083,,0.22566707058776608,-0.00083
2000-01-31,-0.00083,,-0.016229235609064002,-0.00083
2000-02-29,-0.00083,,0.25985528102303485,-0.00083
2000-03-31,-0.00083,,0.035869603013269774,-0.00083
2000-04-28,-0.00083,,-0.05898391325184054,-0.00083
2000-05-31,-0.00083,,-0.08782799762697856,-0.00083
2000-06-30,-0.00083,,0.09754622660302235,-0.00083
2000-07-31,-0.00083,,-0.06360427543657299,-0.00083
2000-08-31,-0.00083,,0.1618740412974603,-0.00083
2000-09-29,-0.00083,,-0.11620688788247964,-0.00083
2000-10-31,-0.00083,,-0.07323372739233233,-0.00083
2000-11-30,-0.00083,,-0.18210422734898624,-0.00083
2000-12-29,-0.00083,,-0.02329478291661297,-0.00083
2001-01-31,-0.00083,,0.22908997136379902,-0.00083
2001-02-28,-0.00083,-0.24906120196673065,-0.19708900604531046,-0.00083
2001-03-30,-0.00083,-0.11460232457277264,-0.06118112525689953,-0.00083
2001-04-30,-0.00083,0.16169390336164913,0.23326911504801506,-0.00083
2001-05-31,-0.00083,-0.040958247669935055,-0.009638574523594177,-0.00083
2001-06-29,-0.00083,0.019544196711737127,0.0533818848429105,-0.00083
2001-07-31,-0.00083,-0.06922258188637831,-0.017154726279564544,-0.00083
2001-08-31,-0.00083,-0.12204426347416075,-0.07224640678179303,-0.00083
2001-09-28,-0.00083,-0.16377062105857043,-0.20675794049698168,-0.00083
2001-10-31,-0.00083,0.10909092816664723,0.20745439770824198,-0.00083
2001-11-30,-0.00083,0.1494145575401591,0.16844225247732333,-0.00083
2001-12-31,-0.00083,-0.02200492946549759,0.035290470784528134,-0.00083
2002-01-31,-0.00083,-0.010833495413252292,0.009935169101742407,-0.00083
2002-02-28,-0.00083,-0.13015985198067515,-0.09187875846782115,-0.00083
2002-03-29,-0.00083,0.04939477320637131,0.10482507750081749,-0.00083
2002-04-30,-0.00083,-0.12090448010521326,-0.12810449522227382,-0.00083
2002-05-31,-0.00083,-0.04147001150891949,-0.042862157033792085,-0.00083
2002-06-28,-0.00083,-0.13362554202405574,-0.14793591146355176,-0.00083
2002-07-31,-0.00083,-0.09481651534628721,-0.10218039593043104,-0.00083
2002-08-30,-0.00083,-0.008380040680237011,0.001872329766081938,-0.00083
2002-09-30,-0.00083,-0.16690153621843162,-0.14640054444215503,-0.00083
2002-10-31,-0.00083,0.24767585646824486,0.19551468471099573,-0.00083
2002-11-29,-0.00083,0.1585360388712984,0.27445791661348,-0.00083
2002-12-31,-0.00083,-0.13216625041024044,-0.14091013713274844,-0.00083
2003-01-31,-0.0495346372562896,-0.023648895205967024,-0.014165993619141493,0.00019052390858489347
2003-02-28,0.05046874072844977,0.004844464354196498,0.036111679119498266,0.015950971544850402
2003-03-31,-0.00545715313697208,-0.015151634691972227,-0.005420008288431546,-0.012182646254900908
2003-04-30,0.10390476087482484,0.09160830117395347,0.11542271279374136,0.1220492253106828
2003-05-30,0.1797485319146146,0.0858425976434034,0.15988223565002652,0.13460286443240416
2003-06-30,0.004932712256074874,0.007079506284629833,-0.001274141253046272,-0.0009672153778348047
2003-07-31,0.06774149200543526,0.031048451150536227,0.06620112893501974,0.08965370881712365
2003-08-29,0.11066619910176996,0.047727847383729705,0.10524860023034116,0.09413253270679062
2003-09-30,0.007127697588062841,-0.008676570712644938,-0.01964772058138641,-0.022173157407072108
2003-10-31,0.193163636489669,0.07330330802055163,0.14559085754104792,0.09648058793989438
2003-11-28,0.04544820616058262,0.014270832116908494,0.043889951691587194,0.06697219790839694
2003-12-31,-0.006738450151786134,0.03135591949771821,0.010546739875230617,0.01482177394662787
2004-01-30,0.07658579219650147,0.04268848531033398,0.037007551418549584,0.005664548234861835
2004-02-27,0.010438637793884036,-0.025411116154446467,-0.012245653000848912,-0.01934874555929495
2004-03-31,-0.007996534724261786,-0.026557339250188328,0.007528254899147384,0.020826055266285635
2004-04-30,-0.07497704268610232,-0.038194436478348304,-0.05997119492390511,-0.06753676810176157
2004-05-31,0.09652432278278146,0.03919543298447814,0.0736047564818222,0.0640451341090961
2004-06-30,0.07405929539609825,0.027295537202900233,0.026021487091052325,0.0338176507321878
