,A,ABBV,ABC,ABMD,ABT,AGN,ALGN,ALXN,AMGN,ANTM,BAX,BDX,BIIB,BMY,BSX,CAH,CELG,CERN,CI,CNC,COO,CVS,DGX,DHR,DVA,EW,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,NKTR,PFE,PKI,PRGO,REGN,RMD,SYK,TFX,TMO,UHS,UNH,VAR,VRTX,WAT,WCG,XRAY,ZBH,ZTS,XLV
6/1/2000,49.0608,,5.1895,19.47,10.9467,44.25,,9.5625,54.3242,,13.1292,21.2072,25.0433,26.1639,11.97,24.2475,4.6413,2.93,26.7103,,16.8887,17.8205,14.0111,8.6691,1.3133,4.97,1.5945,,1.3907,3.5412,5.5237,6.125,,30.065,,,27.2064,17.7461,42.1975,14.3114,37.6817,35.3069,39.94,11.2297,40.81,23.7497,22.6614,5.5557,24.88,5.3798,16.0126,26.8299,15.8858,12.6088,8.2325,9.1746,39,50.05,,9.2306,,,
6/2/2000,54.9413,,5.1649,20.25,10.4781,43.1616,,10.875,56.1599,,12.3282,21.1553,28.8133,24.9713,11.375,23.1095,4.6875,2.9137,27.3029,,17.1041,17.0555,13.6035,9.0976,1.3333,4.7975,1.7564,,1.5,3.5784,5.4074,6.345,,32.75,,,26.0616,17.6513,40.0455,14.641,36.6594,33.601,40.38,11.2802,43.095,22.9898,24.0397,5.527,24.86,5.585,15.5325,26.8739,16.0928,12.998,8.1112,9.3691,41.5,54.9,,9.2516,,,
6/5/2000,53.0931,,4.987,20.5,10.6441,43.4698,,10.6875,56.2102,,12.7782,21.4813,29.5833,25.2167,11.595,22.5896,5.61,3,26.8447,,17.2852,16.4166,12.9167,9.0524,1.3333,4.5325,1.6894,,1.4375,3.4922,5.2911,6,,35.565,,,26.0616,16.6857,39.6677,16.0462,37.122,33.7229,39.75,11.4401,42.5,22.5623,23.5389,5.6114,24.13,5.9315,16.0126,26.9693,15.9355,13.0118,8.1177,9.3956,40.25,52.3,,9.2696,,,
6/6/2000,47.7166,,5.3695,20.44,10.762,44.2211,,11.5625,56.579,,12.5803,21.7109,32.0633,25.7369,11.5,22.8841,5.5313,3.125,25.8122,,17.3488,15.3322,12.5968,9.0524,1.3967,4.2825,1.7493,,1.4063,3.5176,4.9999,6.4075,,38.47,,,26.1019,16.561,40.5931,15.9421,37.5399,33.9178,40.31,11.255,43.56,22.9264,24.216,5.668,25,6.0948,15.7194,26.8739,15.8858,12.9404,7.9487,9.2298,38.94,52.55,,9.3445,,,
6/7/2000,45.0284,,5.2406,19.94,10.762,43.884,,11.625,56.9981,,12.2196,20.9053,31.7067,25.7958,11.5,23.0877,5.8913,3.3125,26.3467,,17.53,14.7131,12.4317,8.8608,1.4567,4.625,1.8583,,1.5157,3.5176,4.826,6.515,,39.03,,,25.9654,16.4662,41.0038,16.7487,36.0998,34.3613,41,10.5986,43.5,22.9581,23.615,5.7236,26.56,5.8212,15.4008,26.6978,15.9852,12.9542,7.9747,9.0928,41.065,51.5,,9.1767,,,
6/8/2000,46.4599,,5.0749,19.625,10.8798,43.4313,,11.2825,55.0619,,12.3903,20.7196,31.1267,25.305,11.72,22.9059,5.4063,3.3825,26.5942,,17.7747,15.2336,12.3176,8.8716,1.3333,4.625,1.6981,,1.4688,3.5294,4.6511,6.2025,,40.065,,,26.3346,16.2941,41.0366,16.9656,35.2566,33.7813,42.06,9.9422,42,23.3539,24.24,5.7236,23.06,5.7241,15.507,26.1401,15.6789,12.9404,8.0159,8.8429,40.25,51,,9.3055,,,
6/9/2000,47.636,,5.2672,20.22,10.928,42.5066,,11.7025,52.4969,,12.559,20.9053,33.4167,25.3688,11.78,23.9748,5.9688,3.2738,27.1307,,18.416,15.1587,12.5458,9.0307,1.3133,4.625,1.8724,,1.422,3.5294,4.6511,6.125,,42.97,,,26.7224,16.2491,41.7211,17.8329,36.1893,34.0592,41.81,7.2831,42.06,24.2775,24.4163,5.668,27.13,5.7792,15.6132,26.6024,15.6292,12.9542,8.3343,9.3691,41.69,52.5,,9.3055,,,
6/12/2000,44.3563,,5.3572,19.905,10.7941,41.5048,,11.515,51.1307,,12.6734,20.3926,31.6467,25.5504,11.845,24.0439,6.2888,3.1637,27.8204,,18.2349,14.9221,12.1769,8.9168,1.2933,4.6575,1.6753,,1.5,3.5176,4.7674,5.625,,40.155,,,26.3005,15.6254,42.8492,17.6161,36.0177,34.0884,42.31,7.5482,40,23.4225,23.1142,5.5836,23.88,5.6137,15.4263,26.1915,15.5216,13.5876,8.656,9.0088,40.03,53.9,,9.2516,,,
6/13/2000,46.4128,,5.9831,18.565,10.9949,44.0092,,11.345,55.0619,,12.9721,20.5338,34.48,26.1344,12.22,24.0875,6.3438,3.1563,28.8351,,18.0929,14.6421,12.4317,8.9295,1.4167,4.595,1.7755,,1.5625,3.5059,4.826,5.845,,40.625,,,27.3026,15.608,44.2182,18.1105,36.6818,35.7943,43.94,7.5482,39.655,24.1931,23.4387,5.1903,24.81,5.9845,15.9318,27.2409,15.4719,12.998,8.747,9.347,41.47,55.7,,9.2696,,,
6/14/2000,45.5324,,5.6252,18.5,11.2466,44.067,,11,53.9051,,13.1176,20.7196,32.52,26.7479,12.345,25.0656,6.5475,3.25,28.78,,18.1223,15.3322,12.9677,8.7251,1.6867,4.61,1.7651,,1.7813,3.5294,4.826,5.9525,,39.78,,,27.8456,15.9672,45.3462,18.4834,37.6145,35.5506,39.31,7.3378,39.25,24.5889,22.8137,5.4148,24,6.62,17.0194,27.5197,15.4222,13.6889,8.8824,9.2917,40.94,56.05,,9.2875,,,
6/15/2000,44.316,,5.8543,17.065,11.4823,45.6948,,10.7825,55.6905,,13.0439,20.9945,32.6267,27.0228,12.44,24.9056,6.6487,3.125,28.8934,,18.1223,15.0601,13.1715,8.7595,1.8133,4.5775,1.8127,,1.75,3.5902,4.6511,5.9225,,39.875,,,28.1186,16.2167,45.4502,18.8651,37.7264,35.4872,38.56,7.6534,40.375,24.8053,22.3128,5.8924,23.56,6.7435,17.712,27.1088,15.3643,14.9993,8.8824,9.4995,42.19,58.95,,9.3804,,,
6/16/2000,42.0914,,6.022,18.065,11.3645,45.3962,,11.0325,56.9981,,12.8499,20.6452,34.8533,26.0755,12.155,23.9966,7.0788,3.1488,28.2036,,17.755,15.135,13.1715,8.8716,1.77,4.5,1.8513,,1.7188,3.4804,4.4186,5.89,,43.19,,6.08,27.7866,16.9352,46.5126,19.3508,37.2638,34.605,37.25,7.6281,42.31,25.3014,22.413,6.0325,25.58,6.3993,18.1368,26.9253,14.9504,14.7966,8.747,9.63,45,60,,9.3025,,,
6/19/2000,45.7004,,5.8809,17.69,11.3966,44.6738,,12.125,58.9931,,12.8752,20.7196,40.0833,26.9933,11.655,24.3166,7.4375,3.1875,29.2766,,18.1223,15.3322,14.2414,8.6347,1.9567,4.5325,1.978,,1.75,3.4431,4.4772,5.875,,57.95,,6,27.9821,17.5889,47.3011,18.5441,37.8458,35.1217,36.44,7.4178,44.75,24.6733,24.1919,5.8359,25.13,6.6751,17.9499,26.8739,15.6292,14.3499,8.6658,9.4509,54.95,60.55,,9.5122,,,
6/20/2000,49.4842,,5.9565,16.815,11.1958,44.2211,,12.875,58.6745,,12.9353,20.348,38.98,26.1344,11.44,24.4729,7.4612,3.375,29.3931,,18.1517,15.0364,15.1769,8.6004,1.8533,4.4525,2.11,,1.7188,3.3706,4.5348,5.765,,56.65,,6.2533,27.4764,18.4621,47.4106,17.9977,37.801,34.5466,37.5,7.3883,47.5,24.4095,24.24,5.7236,25.56,6.7435,18.6126,27.2409,15.7782,14.8542,8.6864,9.4929,49.47,61.95,,9.4943,,,
6/21/2000,52.7571,,5.9443,18,11.1288,44.9435,,13.8125,58.9344,,13.1894,20.6229,40.8733,26.5663,11.5,24.862,8.2975,3.4137,28.6819,,18.1517,14.7407,15.0057,8.5895,1.7933,4.75,2.0309,,1.7032,3.3706,4.5934,5.845,,56.35,,7.3333,27.8859,18.6492,47.5037,18.6482,37.6145,35.3069,37.94,7.3126,47.375,24.742,23.8914,5.8924,27.88,6.6067,17.7927,27.3803,16.1921,14.7529,8.7806,9.4509,51.25,62.5,,9.4763,,,
6/22/2000,50.9089,,5.8297,17.875,10.928,43.6143,,14.1875,55.9001,,12.8984,20.348,36.1667,26.3798,11,24.0184,7.4225,3.235,28.6451,,17.755,14.4922,14.4962,8.7143,1.8533,4.86,1.7896,,1.6875,3.4314,4.6511,5.61,,47,,6.5867,27.4764,18.4621,46.2716,17.6768,35.8162,34.7269,38.19,7.2831,43,24.1456,23.1622,5.7802,25.25,6.4412,17.4995,27.1528,15.7285,15.4599,8.707,9.3536,50.15,59.9,,9.513,,,
6/23/2000,50.4923,,5.8174,17.095,10.8289,44.8472,,14.5,55.8498,,12.8131,20.348,37.8333,26.4436,10.845,23.8367,7.8438,3.2975,28.6635,,17.7844,14.2477,14.2659,8.6239,1.8133,4.97,1.9551,,1.75,3.3098,4.6511,5.61,,45.97,,6.92,27.8456,18.5569,46.7152,17.4599,35.4879,35.3995,37.69,7.1527,44.69,24.2142,23.4147,5.668,25.69,5.296,16.8368,27.1968,15.9852,15.2135,8.6528,9.0928,48.44,56.5,,9.4199,,,
6/26/2000,50.4923,,6.1243,17,10.9949,46.3883,,16.97,58.6242,,13.1894,20.296,39.3133,26.6252,10.94,24.4984,7.25,3.445,28.7217,,17.755,14.1491,14.4452,8.6799,1.7933,4.97,1.9216,,1.75,3.2961,4.826,5.7825,,44.655,,6.6667,29.6295,18.744,47.3997,17.7288,35.6745,36.1891,39.56,7.2074,48.6,24.4095,26.043,5.8359,27.06,5.6689,17.1002,28.2096,16.9206,15.3447,8.6387,9.064,54.65,62.75,,9.3059,,,
6/27/2000,50.7006,,5.7397,14.72,11.1288,46.6291,,15.39,56.4784,,13.3717,19.9764,38.4367,27.6068,10.625,25.0656,6.7575,3.375,28.8351,,17.6619,14.9851,14.4187,8.8716,1.9367,4.7825,1.9005,,1.75,3.2353,4.826,5.64,,41.75,,6.3333,30.3866,18.5868,46.4085,17.6768,35.0701,36.1891,39.5,7.2831,50.5,24.8053,25.8947,5.808,24.75,5.8741,17.1257,27.9307,17.8478,15.8905,8.6864,8.9535,54.25,59.65,,8.9486,,,
6/28/2000,53.4292,,6.0731,15.565,11.3912,48.5074,,16.4375,57.9453,,13.8197,20.5486,42.2067,26.6498,10.855,25.8255,7.11,3.375,29.4912,,18.0635,15.0482,14.7631,8.8363,1.9167,5.11,2.0289,,1.875,3.2961,4.7711,5.485,,47,,6.4133,30.43,18.8987,47.7501,17.7288,35.473,36.0672,40,7.3294,54.345,24.5308,27.5455,5.527,29,6.0418,17.8182,28.2096,18.0216,16.107,8.9388,8.8429,55.2,62.5,,9.4199,,,
6/29/2000,50.9963,,6.3656,16.125,11.2145,51.9846,,17.0625,57.2077,,13.9652,20.6229,41.3533,28.4068,10.905,25.5745,6.6875,3.4688,29.9296,,17.9362,14.9615,14.7754,8.7513,1.8967,5.0625,1.9887,,1.8282,3.3824,5.1162,5.5,,42.375,,6,30.5789,19.5998,55.6355,17.7809,35.7715,36.1208,39.56,7.5403,51.25,24.3989,25.8427,6.0325,29.94,5.9028,18.6934,28.3417,17.6408,16.1347,9.3157,8.5113,54.7,64.75,,9.549,,,
6/30/2000,49.5648,,6.3452,15.375,11.9321,51.7727,,17.875,58.8841,,13.6374,21.3215,39.1033,28.5884,10.97,26.9167,7.36,3.4063,28.6635,,17.8186,15.7738,15.2339,8.9431,2,4.63,2.0027,,1.6875,3.3824,4.5348,5.72,,41.095,,6.2933,31.6152,19.238,54.6936,18.1625,37.1668,37.3491,40.02,7.6457,50.735,25.3331,26.4997,5.668,29.81,5.9028,18.5871,26.2355,17.4338,15.0845,9.2887,8.6506,52.7,62.45,,9.2488,,,
7/3/2000,49.5245,,6.2388,16.75,11.8652,51.0214,,17.125,57.4172,,13.7713,20.9945,39.6667,28.343,10.905,26.8476,6.8913,3.3512,29.0865,,18.2154,15.5293,15.1076,8.9774,2.0433,5.14,1.9675,,1.8438,3.4314,4.8837,5.6875,,42.875,,6.4133,31.367,19.4601,54.0748,18.1105,36.4206,37.2711,38.81,7.6162,50.03,25.1695,26.043,5.668,29.13,5.7108,18.7061,27.6592,18.1623,15.3447,9.5389,8.8562,54,64.8,,9.0807,,,
7/5/2000,47.2126,,6.2634,17.595,11.9321,51.9846,,18,61.8681,,14.4133,21.9681,43.4167,29.0473,10.815,26.4038,6.6175,3.3338,29.1233,,18.3672,15.6516,15.4499,8.6717,2.1267,4.9225,1.9974,,1.797,3.3216,4.8837,5.47,,47.53,,6.6667,31.3359,20.2559,57.2235,19.1947,35.8535,37.622,37.75,7.9072,49.125,25.0375,25.7425,6.0325,30.06,5.8212,18.8675,27.3803,18.3196,15.6602,9.6407,8.9115,59.7,69.9,,8.9486,,,
7/6/2000,46.4599,,6.9425,17.5,11.7313,52.7359,,18.11,61.3987,,13.7344,21.9235,44.3733,28.7072,11.22,26.302,6.375,3.5162,29.7763,,18.6709,17.1067,15.8331,8.4908,2.25,5.0625,2.059,,1.7813,3.3451,5.465,5.5325,,46.47,,6.5,30.9295,20.3807,55.6355,19.6283,36.4137,36.7398,39.06,7.8819,49.345,24.5731,26.1672,6.2004,28.94,5.8609,19.9934,26.7418,19.3544,15.6902,9.9386,8.7744,59.05,63.25,,9.3449,,,
7/7/2000,45.3644,,7.0959,18.065,11.5974,52.6492,,18.3125,61.9771,,13.6743,21.8343,43.3733,28.584,11.69,26.2801,6.75,3.57,30.5611,,18.5533,16.9096,16.0369,8.603,2.2933,5.125,2.2612,,1.875,3.3216,5.3488,5.5,,48.455,,6.8333,30.9481,20.1162,55.3069,19.0819,37.3922,36.2524,39.88,8.2487,49.635,24.1772,27.3211,6.0603,29.63,5.8609,20.2186,27.1088,19.4537,15.6165,9.7219,9.0928,61.7,65.25,,9.456,,,
7/10/2000,46.0365,,7.1082,18.595,11.5144,52.6492,,18.86,61.2981,,13.8799,22.1093,43.1667,28.9832,12.03,26.5311,6.8725,3.375,30.6377,,18.519,17.1777,16.5077,8.5578,2.5,5.3125,2.235,,1.8595,3.2353,5.5813,5.36,,50.45,,8.3733,31.0877,20.2085,56.9497,20.1141,37.7209,36.4961,40.94,8.3036,49.78,25.2328,27.1448,5.8924,29.75,5.8212,20.3248,27.7032,19.8676,15.6326,9.4652,9.3271,60.05,69.5,,9.9633,,,
7/11/2000,45.2367,,6.6991,20.155,11.5144,52.4373,,18.6875,61.3484,,13.9536,22.0201,43.6867,28.924,11.905,26.9167,6.6725,3.4613,30.5979,,18.2448,17.1067,18.9532,8.3896,2.3133,5.5,2.3369,,1.8595,3.0647,5.5237,5.375,,53,,8.5,31.0877,21.456,56.4021,20.3309,38.2811,36.4035,42.06,8.0126,52.155,25.8608,28.1465,5.7802,31.38,5.4328,20.3248,27.8426,19.4537,15.6165,9.4988,9.4089,62.8,69.5,,9.9242,,,
7/12/2000,46.3725,,6.5334,21.5,11.888,50.8095,,20.11,61.5077,,13.9536,21.7377,41.6667,27.6082,13,26.1674,6.7813,3.6325,31.5451,,18.2448,17.2053,19.8968,8.5017,2.4167,5.5325,2.5166,,1.8595,2.9412,6.3953,5.345,,51.8,,10,30.4238,22.9229,54.6224,20.1141,37.4894,35.7699,43.31,8.2234,50.5,25.3172,30.2499,6.1169,29.69,5.5431,19.3051,28.9875,18.6756,15.6464,9.6678,9.5902,63.45,73.45,,9.9633,,,
7/13/2000,47.7166,,6.29,21.97,11.7056,49.8752,,18.72,58.2051,,13.7111,20.8087,38.1267,26.6127,12.94,25.6436,6.3675,3.735,30.9933,,18.3378,16.9332,20.1516,8.4004,2.48,5.8125,2.3141,,1.8438,2.9294,6.3953,5.2975,,46.75,,11.1667,29.552,22.157,52.4321,21.3024,37.9076,33.6936,42.56,8.0674,47.69,24.3461,29.4486,6.2291,29.38,5.6954,19.0672,28.2536,19.1474,15.172,9.2887,9.6167,59,68.4,,9.7561,,,
7/14/2000,51.7893,,6.2265,22.815,11.4024,53.9688,,17.9375,59.3032,,13.4803,20.2514,39.3333,27.0464,12.72,24.7342,6.3913,3.625,30.5795,,18.3084,17.1304,21.1746,8.2756,2.48,5.735,2.2702,,1.7657,2.9529,6.5702,5.25,,45.565,,10.3333,28.4847,22.4863,51.7476,22.1697,37.5342,32.7773,42.25,7.9072,46.31,23.7814,29.2723,6.2569,27.75,5.7925,19.1182,28.2096,19.3544,14.9555,9.1532,9.5902,57.5,66,,9.582,,,
7/17/2000,52.5891,,6.29,23.94,11.4024,54.6334,,19.9375,60.6695,,14.0874,20.4817,42.27,27.1302,13.28,24.7015,6.125,3.6637,31.1159,,17.755,17.5484,21.8064,8.2412,2.5,5.7025,2.3229,,1.875,2.8686,6.6864,5.2975,,48.21,,10.4133,29.2696,23.4219,53.9215,22.0916,38.0047,32.8407,41.5,8.409,47.75,24.3356,30.3381,5.9481,30.56,6.1522,19.1989,28.0261,18.9653,15.6165,9.4176,9.9483,60.15,71.8,,9.8132,,,
7/18/2000,51.5004,,6.3022,21.97,11.2522,53.4005,,19.47,62.7482,,14.1223,21.2249,41.4167,26.1494,12.875,25.098,5.8913,3.61,30.0614,,18.0293,17.3512,20.9708,8.4348,2.5,5.97,2.2578,,1.922,2.8059,6.6278,5.6725,,47.365,,9.6667,29.4744,24.824,55.0331,21.7967,38.8861,32.3533,40.75,8.409,47.75,23.6864,29.5007,5.9481,29.19,6.2757,19.3306,27.4317,19.2964,15.833,9.0178,9.4509,61.3,67,,9.7381,,,
7/19/2000,49.7731,,6.0588,22.25,11.0349,51.8979,,19,61.558,,14.2678,20.9945,39.8333,25.8143,9.44,25.6436,5.9138,3.3825,29.718,,17.8186,16.7597,20.5429,8.4004,2.4567,6.0475,2.1047,,1.922,2.8314,6.5702,5.5325,,46.69,,9.3333,28.9128,24.5746,54.0748,21.6319,37.7209,31.8025,39.25,8.4343,46.72,24.5097,28.6793,6.0047,27.63,6.0948,18.961,26.9693,18.9901,15.5313,9.0926,9.2984,57.9,64.35,,9.588,,,
7/20/2000,36.2915,,6.3022,22.28,11.0349,51.8305,,19.47,62.0777,,14.5103,18.5346,40.0433,25.1243,8.845,26.1892,6.1413,4.2575,30.138,,17.848,17.1296,20.7874,8.6374,2.5,6.015,2.0413,,1.875,2.8431,6.919,5.595,,49.375,,10.5867,28.5064,25.1484,52.8428,22.0136,38.423,31.2225,41,8.3036,48,23.7497,28.2538,6.3126,28.44,5.9712,18.6934,27.3363,19.2468,15.5313,9.1944,9.1878,59.25,65.6,,9.6451,,,
7/21/2000,32.2995,,6.3411,22.5,10.8337,53.8243,,19.5,65.3802,,15.2512,18.9508,39.77,24.6709,8.75,26.2801,6.0475,4.25,29.7548,,17.7256,17.0032,20.4206,8.5578,2.3967,6.22,2.1134,,1.8282,2.7706,7.0353,5.25,,48.69,,11.4133,28.6212,24.2477,53.5984,22.1177,37.7209,31.0714,41.38,8.3289,46.5,24.2142,27.4228,6.1725,28.69,5.8609,19.8107,26.9253,18.5762,15.4438,9.2074,9.022,60.1,63.9,,9.9062,,,
7/24/2000,33.2672,,6.4045,21.065,10.9329,56.7236,,19.9075,62.656,,15.1348,18.8096,39.3733,24.6414,8.53,26.8257,5.7737,4.3288,29.4697,,17.6325,17.177,20.7059,8.8291,2.25,6.1875,1.9675,,1.75,2.7216,6.7441,5.9075,,47.47,,11.1667,29.3038,24.4648,55.3617,23.3146,39.0729,33.9032,41.5,9.0458,47.25,25.1008,27.2221,6.0047,28.75,5.9028,19.9552,26.008,17.8478,15.3148,8.916,8.9822,57.6,64.05,,9.9062,,,
7/25/2000,30.0749,,6.2,22.53,10.6646,56.5599,,18.2825,61.7172,,14.4753,18.3934,38.48,24.0549,8.5,26.4184,5.5938,4.2425,29.718,,17.3876,16.9796,20.1128,9.0679,2.1467,6.125,1.934,,1.8125,2.6725,6.8027,5.6875,,44.875,,10.7467,29.009,23.4045,55.3069,22.2304,39.2596,34.5612,40.94,9.2271,45.875,23.222,27.3746,6.1447,26.23,6.2051,19.1989,26.3309,17.9057,14.8104,8.5304,8.8717,54.95,61.1,,9.9242,,,
7/26/2000,28.8988,,6.4556,23.72,10.6995,56.1938,,17.5325,58.1549,,14.4501,17.7469,41.8533,23.5325,8.75,25.88,5.8438,4.07,30.043,,17.1133,16.636,20.7874,9.0227,2.1267,5.985,1.9585,,1.7813,2.7706,6.6278,6.015,,45.72,,11.5867,28.0007,23.8885,54.157,21.2503,38.6546,34.1176,41.19,8.8054,45.19,22.9581,26.094,6.2291,28.13,6.3993,20.448,26.6978,17.0779,15.2296,8.4697,8.9115,54,65.3,,9.9633,,,
7/27/2000,27.3867,,6.7502,22,10.7317,56.9162,,16.8125,57.4172,,14.4501,18.49,42.52,24.8878,9.095,26.713,6.3675,3.945,30.6561,,16.9272,16.4386,20.8689,8.7839,2.0633,5.875,1.8952,,1.7188,2.7078,6.8604,5.875,,42.75,,11.4133,28.5002,24.4024,54.4417,21.4151,40.3352,35.2581,39.5,9.2271,43,23.5439,25.267,6.1169,26.56,6.3309,19.9934,26.6024,16.9206,15.271,8.8694,9.148,53.45,62.45,,10.2064,,,
7/28/2000,27.7227,,7.1082,20.045,11.1341,56.4057,,15.5,55.6402,,14.9234,18.3043,38.6667,24.7646,8.565,26.713,6.18,3.86,30.1196,,16.8048,16.0161,20.604,8.8291,2.1267,5.765,1.9746,,1.8438,2.6961,6.5702,5.875,19.585,39.44,,10.8333,29.0587,25.2981,56.0188,21.1983,38.8413,35.4726,39.12,9.0163,42,23.1586,25.5922,6.1447,24.63,6.1786,19.2499,26.4189,16.9206,15.5013,8.7947,9.064,49.44,59.9,,10.2064,,,
7/31/2000,27.3867,,7.147,19.875,11.1341,53.2175,,16.125,54.4332,,15.0805,18.765,40.9367,25.4447,8.28,26.7348,6.4925,4.375,30.6193,,17.2015,15.5975,20.5632,9.2144,2.5433,5.4525,2.0872,,1.875,2.7569,6.8027,6.0625,17.5,37.905,,12.5867,28.8725,24.5122,56.8949,21.1462,38.1392,34.9267,40.5,8.9614,40.595,22.8948,25.6685,6.0603,28.06,6.1235,18.243,26.6024,17.1772,15.5175,8.8619,9.5062,48.97,59.3,,10.1494,,,
8/1/2000,27.2186,,7.1716,20,11.3193,53.4583,,17.75,57.8363,,15.1174,19.5082,42.9167,25.6566,8.75,27.2804,6.6325,4.375,31.0546,,17.6619,15.3013,21.5619,8.9648,2.5,5.6575,2.4479,,1.8282,3.2843,6.7441,6.2975,17.75,42.5,,11.6267,29.4155,25.6972,58.5377,21.3631,40.8506,36.1111,40.38,9.0163,43.655,24.1456,26.3469,6.1169,28.56,6.3861,18.6934,26.2355,17.6408,15.6741,9.0384,9.4509,52.6,67.4,,10.3745,,,
8/2/2000,26.97,,7.0816,19.5,11.4695,52.0713,,19,58.9344,,15.3346,19.694,44.8133,26.2431,9.065,27.4186,6.75,4.5,29.6015,,17.5737,14.5629,20.3798,9.0444,2.52,5.7025,2.3721,,1.8125,3.6392,6.7441,6.14,19.065,41.905,,11.3733,29.9398,25.5725,58.483,20.8687,40.7535,36.5546,41,9.2271,45.56,24.3461,25.1145,6.2848,28.44,6.7568,18.8251,26.5584,18.8825,15.6326,9.0579,9.5902,50.25,65.05,,10.6387,,,
8/3/2000,27.5547,,7.2861,19.625,11.5205,50.3279,,19.75,58.8338,,15.3113,19.5528,45.2933,26.7063,8.875,27.4186,6.75,4.4763,29.8131,,17.2946,14.1404,20.9912,9.1909,2.4567,5.7825,2.5605,,1.8282,3.7255,6.5115,6.3125,22.125,41.28,,11.7067,30.0949,25.4727,59.0853,20.8166,41.0822,36.6618,41.12,9.5687,44.5,23.6178,24.9419,6.4814,28.94,7.4762,19.543,26.4189,18.419,15.6464,9.2009,9.5482,51.8,66.15,,10.5817,,,
8/4/2000,26.9229,,7.3639,21,11.2683,52.7359,,19.9375,57.9453,,15.0204,19.3224,45.6667,25.8143,8.875,27.0076,6.7813,4.7425,30.7481,,17.417,14.2668,21.8268,9.7571,2.5,5.75,2.4496,,1.8438,3.5784,6.6278,6.375,20.47,40,,11.3733,29.9584,26.6952,58.8115,20.7646,41.6424,35.9746,43.75,9.594,45.06,24.0136,26.3188,6.2848,29.38,7.4762,19.5176,26.4189,18.6259,15.6902,9.4988,10.2799,58.65,67.45,,11.05,,,
8/7/2000,26.7146,,7.7484,20.095,10.8471,52.4373,,19.6875,60.4599,,15.1852,19.1886,47.5833,25.6812,8.795,26.302,7.125,4.8125,31.3305,,17.6325,14.1681,23.6202,9.6322,2.3967,5.6575,2.5146,,2,3.6118,6.5115,6.5,21.125,41.375,,10.6667,30.0515,26.77,58.3187,20.9294,41.7395,35.5945,42.75,9.6488,46.44,23.7075,28.0009,6.1447,30.19,7.24,19.6493,26.2355,18.005,15.5889,9.5259,10.0589,60.35,66.45,,10.9959,,,
8/8/2000,26.0828,,7.7341,20.22,10.7827,51.5126,,19.125,58.2554,,14.7042,19.1366,45.3733,25.3116,8.565,26.3274,7.25,4.8125,31.6678,,17.4807,13.7455,23.1515,9.7118,2.3967,5.625,2.5464,,2.1875,3.5294,6.3376,6.375,20.49,40.5,,10.5,29.9925,26.2212,59.4139,21.3631,41.4108,35.2679,42.31,9.4802,47,23.7075,28.8801,6.2848,29.81,7.0613,19.5983,26.052,18.005,15.4299,9.4241,9.8665,59.9,66.75,,11.0259,,,
8/9/2000,26.4189,,7.5684,19.69,10.6137,50.0293,,19.47,57.786,,14.5587,18.3934,45,25.627,8.315,25.6654,6.7813,4.8288,31.1466,,17.7256,13.8956,22.6827,9.9144,2.3133,5.5325,2.5025,,2.2188,3.5784,6.6278,6.4075,21.405,39,,9.7933,29.4155,26.8199,42.099,20.7125,42.0159,34.3906,43,9.5687,43.75,22.5623,28.6031,6.1169,29.69,6.6067,19.1734,26.052,17.5415,15.3447,9.5194,9.7958,61.9,66.85,,10.8068,,,
8/10/2000,26.2105,,7.4661,20.155,10.8819,51.2044,,18.0625,56.9478,,15.5169,18.8616,46.7933,25.2574,8.28,26.1674,6.9138,4.485,31.2079,,17.7256,14.4366,22.214,9.9597,2.1867,5.4225,2.4391,,2.2188,3.5294,6.6864,6.375,22.5,35.53,,9.8333,30.2221,26.77,42.2359,20.7125,42.0159,34.8341,43.25,10.0157,42.75,22.1664,29.2052,6.1447,28,7.3371,19.5813,25.6851,17.2269,15.4599,9.5735,10.0721,57,67.75,,10.7318,,,
8/11/2000,27.306,,7.6195,19.815,10.9812,53.0056,,18.72,58.4147,,15.3113,18.9954,45.3333,25.1096,8.315,26.7348,7.625,4.6325,32.2502,,17.4807,14.4879,21.6026,10.0284,2.23,5.61,2.4321,,2.2188,3.5412,6.919,6.6875,20.94,37.405,,9.3333,30.3555,26.4956,42.3071,21.3024,41.0822,35.2923,45.62,11.5972,42.5,22.6309,29.2815,6.2291,29.44,7.7101,19.7555,26.2795,17.0199,15.6027,9.9927,9.9771,61,70.7,,10.6567,,,
8/14/2000,29.2348,,7.5684,21.19,10.7827,52.0424,,17.8125,58.2051,,15.5169,19.367,44.27,24.9519,8.22,27.1204,7.555,4.7038,31.8824,,17.1133,14.7841,21.8064,10.0049,2.1867,5.64,2.4462,,2.125,3.5294,7.9655,6.6725,20,37.25,,9.3333,30.1911,27.0944,42.7191,21.7967,40.5668,35.5018,45.56,10.9899,42.095,22.5464,30.0322,6.2291,30.06,7.4607,19.543,26.7859,17.1358,15.6602,10.1282,9.9483,61.8,73.1,,10.5817,,,
