Date,Average,bmSPY,EW
11/30/2009,0.049605579,0.061606778,0.063599077
12/31/2009,0.041899741,0.01910106,0.027582919
1/29/2010,-0.063299317,-0.036342592,-0.038545285
2/26/2010,0.054579359,0.031194986,0.033340522
3/31/2010,0.083365445,0.060879402,0.06255751
4/30/2010,0.052644038,0.01547016,0.021749229
5/31/2010,-0.072684895,-0.07945465,-0.075852137
6/30/2010,-0.076132015,-0.051740882,-0.051374248
7/30/2010,0.081212945,0.068300623,0.078030522
8/31/2010,-0.040657079,-0.044980572,-0.035587407
9/30/2010,0.04996327,0.089554693,0.080456723
10/29/2010,0.039933604,0.038202177,0.038391052
11/30/2010,-0.001235207,0,-0.000739762
12/31/2010,0.069569718,0.066852104,0.064017653
1/31/2011,0.029109933,0.023300163,0.020245255
2/28/2011,0.042994618,0.034737363,0.035101317
3/31/2011,0.010461038,0.000120275,0.002953584
4/29/2011,0.016531033,0.028961386,0.03395138
5/31/2011,-0.021567437,-0.011214653,-0.00574522
6/30/2011,-0.015374187,-0.016869538,-0.015571682
7/29/2011,-0.010357346,-0.020004724,-0.017880118
8/31/2011,-0.030909167,-0.054975465,-0.04911112
9/30/2011,-0.03455554,-0.069420712,-0.080255068
10/31/2011,0.042774395,0.10914713,0.115917071
11/30/2011,0.017044976,-0.004063793,-0.003253475
12/30/2011,0.030047657,0.010448446,0.012862891
1/31/2012,-0.011207676,0.046374494,0.045338431
2/29/2012,0.045024906,0.043405613,0.029106131
3/30/2012,0.036930737,0.032163294,0.028297171
4/30/2012,-0.004346913,-0.00667546,-0.000101461
5/31/2012,-0.048036374,-0.060055778,-0.054646376
6/29/2012,0.04080229,0.040581149,0.042259942
7/31/2012,0.012130398,0.01182928,0.013359399
8/31/2012,-0.008978688,0.025052879,0.015062797
9/28/2012,0.010611705,0.025351123,0.02058573
10/31/2012,-0.012617554,-0.018198506,-0.01107898
11/30/2012,-0.007580755,0.005659689,0.003182038
12/31/2012,0.010526586,0.008934633,0.013001116
1/31/2013,0.060057275,0.051190271,0.053036812
2/28/2013,0.016601184,0.012758918,0.012587487
3/29/2013,0.037021741,0.037970809,0.037043215
4/30/2013,0.023683434,0.019212291,0.025050177
5/31/2013,0.002611704,0.023610117,0.005880067
6/28/2013,-0.006205018,-0.01334448,-0.013262757
7/31/2013,0.05383688,0.051676736,0.047619553
8/30/2013,-0.033866722,-0.029992443,-0.032636569
9/30/2013,0.047010809,0.031646508,0.032270149
10/31/2013,0.043523685,0.046306374,0.04460798
11/29/2013,0.03474569,0.029637905,0.014810655
12/31/2013,0.028092817,0.025927593,0.022973217
1/31/2014,-0.034290021,-0.03524818,-0.024378299
2/28/2014,0.048330403,0.045515877,0.048712768
3/31/2014,-0.003240903,0.008293456,0.009948828
4/30/2014,-0.002873447,0.006951327,0.014677087
5/30/2014,0.022932566,0.023206497,0.020740188
6/30/2014,0.0275077,0.020643036,0.021145528
7/31/2014,-0.024949995,-0.013437585,-0.020457251
8/29/2014,0.038468825,0.039463805,0.039397704
9/30/2014,-0.017200423,-0.013795405,-0.020563368
10/31/2014,0.043523758,0.023550974,0.031991044
11/28/2014,0.030377999,0.027471839,0.020904333
12/31/2014,-0.008585597,-0.00253694,0.00302533
1/30/2015,-0.000625787,-0.029629378,-0.014182018
2/27/2015,0.00196965,0.056204741,0.038646421
3/31/2015,-0.00781166,-0.015706555,-0.0134836
4/30/2015,-0.020655556,0.009833801,0.004254439
5/29/2015,0.014429934,0.012856117,0.006601452
6/30/2015,-0.015932437,-0.020119826,-0.026533089
7/31/2015,0.034946158,0.02214783,0.019277735
8/31/2015,-0.07002008,-0.061344764,-0.057602136
9/30/2015,-0.008035352,-0.025075509,-0.020502207
10/30/2015,0.06021719,0.085286303,0.079325596
11/30/2015,0.001584436,0.0036553,0.000329348
12/31/2015,-0.011316672,-0.017284777,-0.015617232
1/29/2016,-0.025774065,-0.049786393,-0.043952317
2/29/2016,0.001613116,-0.000826221,0.007204442
3/31/2016,0.068768062,0.067263988,0.073416923
4/29/2016,-0.023018464,0.003941195,0.010269248
5/31/2016,0.005023188,0.017011784,0.011540576
6/30/2016,0.059187552,0.003477971,0.017375341
7/29/2016,0.011533008,0.03647114,0.030322239
8/31/2016,-0.034414008,0.001197541,-0.006744919
9/30/2016,0.044318423,5.83E-05,0.027283967
10/31/2016,-0.010356506,-0.017336987,-0.019932473
11/30/2016,0.068136903,0.036838364,0.034469726
12/30/2016,0.02653353,0.02027147,0.021635605
1/31/2017,0.004481235,0.017894682,0.01552334
2/28/2017,0.036264798,0.039291588,0.033860343
3/31/2017,0.003623835,0.001249883,-0.004166363
4/28/2017,0.017422853,0.009926207,0.007029616
5/31/2017,0.019598391,0.014112903,0.009046336
6/30/2017,-0.001348158,0.006374895,0.007603566
7/31/2017,0.014480824,0.020554229,0.017354476
8/31/2017,0.0127126,0.002917648,-0.001816838
9/29/2017,0.01173938,0.020149503,0.022504361
10/31/2017,0.047062377,0.023564024,0.015654042
11/30/2017,0.017083935,0.03056587,0.031113574
12/29/2017,0.011644707,0.012127932,0.010082054
1/31/2018,0.062216235,0.056359208,0.03676066
2/28/2018,-0.032225022,-0.036360444,-0.050011144
3/30/2018,-0.034719856,-0.027410512,-0.011436344
4/30/2018,0.008132752,0.005168241,0.009239795
5/31/2018,0.025601751,0.024309057,0.017433489
6/29/2018,0.011421279,0.00575088,0.012421007
7/31/2018,0.016908398,0.03704655,0.033231538
