,Average,bmSPY
AnnRet(%),6.9,6.2
AnnRisk(%),10.028489415631766,14.247132986212927
AnnSharpe(2.5%),0.660880600749532,0.4115348685475944
Avg_DD(%),3.486,5.201
MaxDD(%),21.214,46.322
WinRate(%),60.199999999999996,63.800000000000004
Gain_to_Loss,1.178,0.816
RoMDD,0.327,0.133
Sortino(5%),0.6891050105708179,0.45215982901002183
Sterling_Ratio(over MDD),0.327,0.133
beta,0.4018012262794378,0.9999999999999998
ann_alpha,0.003518582690133786,2.1141942363467336e-18
R_squared,0.320680279295253,1.0
p_value,0.03574004865688131,0.0009290561306448043
tvalue,2.1135460824319363,3.359180690918672
1YrReturns,12.930434400297063,16.136712992611415
1YrRisk,9.204292147226809,8.950113720776855
3YrReturns,9.932897545973596,12.388680764416971
3YrRisk,10.339347175125408,10.292786569715563
5YrReturns,11.196043326798177,12.983990842800065
5YrRisk,10.03008375607287,9.73253728284337
Total Return,1.2727839467676991,1.2366553540446064
Best_Month,8.899211709745645,10.914713010345256
Worst_Month,-9.704158045931282,-16.518625676257393
Best_Year,33.5130838879511,28.660059746580323
Worst_Year,-14.669930531640944,-42.87458516954188
