,cashModel,noCashModel,portfolio,bmSPY,EW
2001-07-31,-0.0008300000000000001,-0.0008300000000000001,,-0.010178117048346036,-0.00547793619831791
2001-08-31,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,-0.059359663472774,-0.04871419630877204
2001-09-28,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,-0.0816149068322981,-0.09590843973272728
2001-10-31,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,0.0129852563235493,0.019841532878699338
2001-11-30,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,0.07798103885699037,0.07407099845666099
2001-12-31,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,0.005574136008918762,0.01700780232919791
2002-01-31,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,-0.009731460950973214,-0.0128304071173876
2002-02-28,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,-0.017912675705933582,0.0037638666147350327
2002-03-29,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,0.03318556048131716,0.044774405968110866
2002-04-30,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,-0.0581095991173225,-0.04786854911722994
2002-05-31,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,-0.0059872445659246995,-0.002103643601629105
2002-06-28,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,-0.07372004713892899,-0.06495876784924065
2002-07-31,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,-0.07888040712468193,-0.09161182821690624
2002-08-30,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,0.006752608962553586,0.009630073443449738
2002-09-30,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,-0.10472560975609756,-0.09349103732328123
2002-10-31,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,0.08224076281287251,0.06084422579945582
2002-11-29,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,0.06167400881057272,0.04826244477996648
2002-12-31,-0.0008300000000000001,-0.0008300000000000001,-0.0008300000000000001,-0.056609365737996575,-0.03475285962325142
2003-01-31,-0.016930351646810615,-0.016930351646810615,-0.016930351646810615,-0.024505183788878337,-0.02601382706480313
2003-02-28,-0.021438719491592224,-0.021438719491592224,-0.021438719491592224,-0.01352657004830926,-0.014732552985611304
2003-03-31,0.015441371977254587,0.01434692479562656,0.015441371977254587,0.0021221025138753453,0.010656515374518128
2003-04-30,0.01745724526877393,0.10705907792017463,0.01745724526877393,0.08454145626323495,0.06761024650581014
2003-05-30,0.09112113408447377,0.09112113408447377,0.09112113408447377,0.054821267647942484,0.052809515521400695
2003-06-30,0.008849821295606849,-0.0008300000000000001,-0.0008300000000000001,0.010679196924391343,0.011193483481654895
