,Average,bmSPY
AnnRet(%),6.9,6.2
AnnRisk(%),9.790610783331937,14.247132986212927
AnnSharpe(2.5%),0.6688485054732667,0.4115348685475944
Avg_DD(%),3.315,5.201
MaxDD(%),21.163,46.322
WinRate(%),61.6,63.800000000000004
Gain_to_Loss,1.114,0.816
RoMDD,0.324,0.133
Sortino(5%),0.688640555229076,0.45215982901002183
Sterling_Ratio(over MDD),0.324,0.133
beta,0.40564305533002265,0.9999999999999998
ann_alpha,0.0034160440593474515,2.1141942363467336e-18
R_squared,0.3431679875903151,1.0
p_value,0.033740572619131104,0.0009290561306448043
tvalue,2.137236375668342,3.359180690918672
1YrReturns,15.11037877330612,16.136712992611415
1YrRisk,9.644913687910613,8.950113720776855
3YrReturns,9.547045550642363,12.388680764416971
3YrRisk,9.399683954917656,10.292786569715563
5YrReturns,11.21263562177619,12.983990842800065
5YrRisk,9.44703986178842,9.73253728284337
Total Return,1.2556843372125657,1.2366553540446064
Best_Month,7.01483564557505,10.914713010345256
Worst_Month,-9.704158045931282,-16.518625676257393
Best_Year,32.06284548193134,28.660059746580323
Worst_Year,-15.372218306257704,-42.87458516954188
