,Average,bmSPY
AnnRet(%),6.9,6.2
AnnRisk(%),10.077509185967031,14.247132986212927
AnnSharpe(2.5%),0.6496404941665567,0.4115348685475944
Avg_DD(%),3.553,5.201
MaxDD(%),21.599,46.322
WinRate(%),62.6,63.800000000000004
Gain_to_Loss,1.048,0.816
RoMDD,0.318,0.133
Sortino(5%),0.6702517049559094,0.45215982901002183
Sterling_Ratio(over MDD),0.318,0.133
beta,0.441101613486481,0.9999999999999998
ann_alpha,0.003240455513349289,2.1141942363467336e-18
R_squared,0.38426994347318644,1.0
p_value,0.042993005620486,0.0009290561306448043
tvalue,2.036187370392368,3.359180690918672
1YrReturns,14.118483096463684,16.136712992611415
1YrRisk,8.855437196414595,8.950113720776855
3YrReturns,9.390459718516219,12.388680764416971
3YrRisk,10.40843831372191,10.292786569715563
5YrReturns,11.343940480670378,12.983990842800065
5YrRisk,10.011326474130783,9.73253728284337
Total Return,1.260501018067066,1.2366553540446064
Best_Month,8.899211709745645,10.914713010345256
Worst_Month,-9.704158045931282,-16.518625676257393
Best_Year,30.739629326218505,28.660059746580323
Worst_Year,-16.83402563631366,-42.87458516954188
