Date,Average,bmSPY,EW
12/31/2009,0.024099166,0.01910106,0.024311163
1/29/2010,-0.050950613,-0.036342592,-0.034317952
2/26/2010,0.044828622,0.031194986,0.030455374
3/31/2010,0.058316043,0.060879402,0.056625791
4/30/2010,0.029592858,0.01547016,0.02004489
5/31/2010,-0.080825652,-0.07945465,-0.06854477
6/30/2010,-0.07599264,-0.051740882,-0.046322943
7/30/2010,0.090910477,0.068300623,0.071113127
8/31/2010,-0.038253249,-0.044980572,-0.032135042
9/30/2010,0.061315873,0.089554693,0.073250417
10/29/2010,0.04206391,0.038202177,0.035100454
11/30/2010,-0.000673442,0,-0.000858788
12/31/2010,0.068951045,0.066852104,0.058048978
1/31/2011,0.028715995,0.023300163,0.018523823
2/28/2011,0.040823114,0.034737363,0.031799967
3/31/2011,0.004796469,0.000120275,0.002566892
4/29/2011,0.023848309,0.028961386,0.031350507
5/31/2011,-0.004873361,-0.011214653,-0.004892065
6/30/2011,-0.01474404,-0.016869538,-0.01416037
7/29/2011,-0.015372232,-0.020004724,-0.015994551
8/31/2011,-0.034020077,-0.054975465,-0.044333119
9/30/2011,-0.00083,-0.069420712,-0.073051451
10/31/2011,0.029535966,0.10914713,0.10541024
11/30/2011,0.00950015,-0.004063793,-0.002916751
12/30/2011,0.030089983,0.010448446,0.011740908
1/31/2012,-0.010478572,0.046374494,0.041292041
2/29/2012,0.034329972,0.043405613,0.026332137
3/30/2012,0.037604752,0.032163294,0.025654694
4/30/2012,0.006449693,-0.00667546,9.11E-05
5/31/2012,-0.044321632,-0.060055778,-0.049626842
6/29/2012,0.027031041,0.040581149,0.038329842
7/31/2012,0.0143599,0.01182928,0.012345407
8/31/2012,0.002244427,0.025052879,0.013699909
9/28/2012,0.015434641,0.025351123,0.018729323
10/31/2012,-0.0138827,-0.018198506,-0.0101342
11/30/2012,0.005960569,0.005659689,0.002914322
12/31/2012,0.010513989,0.008934633,0.011841809
1/31/2013,0.05347535,0.051190271,0.048226032
2/28/2013,0.014473118,0.012758918,0.011498111
3/29/2013,0.032809696,0.037970809,0.033705811
4/30/2013,0.026509372,0.019212291,0.022835277
5/31/2013,0.000511116,0.023610117,0.005223999
6/28/2013,-0.014710368,-0.01334448,-0.012146532
7/31/2013,0.04814684,0.051676736,0.043438328
8/30/2013,-0.036900504,-0.029992443,-0.029757947
9/30/2013,0.035386941,0.031646508,0.0295393
10/31/2013,0.042944337,0.046306374,0.040615098
11/29/2013,0.025940803,0.029637905,0.013549253
12/31/2013,0.024954632,0.025927593,0.020723492
1/31/2014,-0.022481691,-0.03524818,-0.021978956
2/28/2014,0.04397418,0.045515877,0.044319812
3/31/2014,0.013453527,0.008293456,0.008945472
4/30/2014,0.013251968,0.006951327,0.013440778
5/30/2014,0.021115714,0.023206497,0.019017193
6/30/2014,0.021231629,0.020643036,0.019151209
7/31/2014,-0.02201019,-0.013437585,-0.018667392
8/29/2014,0.041166065,0.039463805,0.035985123
9/30/2014,-0.014600188,-0.013795405,-0.018760641
10/31/2014,0.017797704,0.023550974,0.029319529
11/28/2014,0.031423316,0.027471839,0.019099474
12/31/2014,-0.00222599,-0.00253694,0.002484294
1/30/2015,-0.017576419,-0.029629378,-0.012322253
2/27/2015,0.027306411,0.056204741,0.034868787
3/31/2015,-0.008819488,-0.015706555,-0.012031241
4/30/2015,-0.006413103,0.009833801,0.003896597
5/29/2015,0.012382189,0.012856117,0.006038835
6/30/2015,-0.016067418,-0.020119826,-0.024092069
7/31/2015,0.035313827,0.02214783,0.017565925
8/31/2015,-0.069890632,-0.061344764,-0.052410603
9/30/2015,-0.007273887,-0.025075509,-0.018370151
10/30/2015,0.081452444,0.085286303,0.071985784
11/30/2015,0.005385392,0.0036553,6.46E-05
12/31/2015,-0.012476393,-0.017284777,-0.014332998
1/29/2016,-0.044666524,-0.049786393,-0.039363988
2/29/2016,0.002480151,-0.000826221,0.006651256
3/31/2016,0.042007804,0.067263988,0.066867932
4/29/2016,-0.02103993,0.003941195,0.009368873
5/31/2016,0.003649986,0.017011784,0.010383322
6/30/2016,0.024812406,0.003477971,0.016343524
7/29/2016,0.01382002,0.03647114,0.027523016
8/31/2016,-0.020460715,0.001197541,-0.006344123
9/30/2016,0.002084098,5.83E-05,0.02492137
10/31/2016,-0.012776895,-0.017336987,-0.018164299
11/30/2016,0.046487854,0.036838364,0.030908841
12/30/2016,0.024169502,0.02027147,0.019734515
1/31/2017,0.012593893,0.017894682,0.014209023
2/28/2017,0.032202747,0.039291588,0.030815457
3/31/2017,-0.001942265,0.001249883,-0.003729474
4/28/2017,0.006233502,0.009926207,0.006560623
5/31/2017,0.018400614,0.014112903,0.008290602
6/30/2017,0.000599914,0.006374895,0.006841364
7/31/2017,0.014632521,0.020554229,0.01594585
8/31/2017,0.009676749,0.002917648,-0.001467695
9/29/2017,0.008705103,0.020149503,0.02028875
10/31/2017,0.038305659,0.023564024,0.014147984
11/30/2017,0.024391217,0.03056587,0.028088609
12/29/2017,0.012779393,0.012127932,0.009147109
1/31/2018,0.053431663,0.056359208,0.033158581
2/28/2018,-0.044243778,-0.036360444,-0.045556096
3/30/2018,-0.031622356,-0.027410512,-0.010172013
4/30/2018,0.012834115,0.005168241,0.008186337
5/31/2018,0.022089307,0.024309057,0.016168896
6/29/2018,6.42E-05,0.00575088,0.01133111
7/31/2018,0.029969968,0.03704655,0.03015588
