,Average,bmSPY
AnnRet(%),6.3,6.2
AnnRisk(%),10.060431475002794,14.247132986212927
AnnSharpe(2.5%),0.5984653858105393,0.4115348685475944
Avg_DD(%),3.703,5.201
MaxDD(%),21.085,46.322
WinRate(%),59.699999999999996,63.800000000000004
Gain_to_Loss,1.137,0.816
RoMDD,0.301,0.133
Sortino(5%),0.6161971571470202,0.45215982901002183
Sterling_Ratio(over MDD),0.301,0.133
beta,0.445758482365863,0.9999999999999998
ann_alpha,0.0027998562815556797,2.1141942363467336e-18
R_squared,0.3937575194525502,1.0
p_value,0.07722348941312675,0.0009290561306448043
tvalue,1.7757846839734508,3.359180690918672
1YrReturns,14.012638403808264,16.136712992611415
1YrRisk,9.443068593493805,8.950113720776855
3YrReturns,9.627208521685148,12.388680764416971
3YrRisk,10.318611779758172,10.292786569715563
5YrReturns,10.561372067934727,12.983990842800065
5YrRisk,9.891086954531039,9.73253728284337
Total Return,1.1730329379482827,1.2366553540446064
Best_Month,8.899211709745645,10.914713010345256
Worst_Month,-9.704158045931282,-16.518625676257393
Best_Year,31.95122914577778,28.660059746580323
Worst_Year,-17.54177214937646,-42.87458516954188
