,Average,bmSPY,EW
2001-01-31,-0.00083,,
2001-02-28,-0.00083,-0.09538756594436393,-0.04880339724207545
2001-03-30,-0.00083,-0.056037443924883856,-0.053615975143967716
2001-04-30,-0.00083,0.08544030596323293,0.07888799705154649
2001-05-31,-0.00083,-0.005605458629574289,0.017511373268525858
2001-06-29,-0.00083,-0.023829719700316665,-0.032293550122482806
2001-07-31,-0.00083,-0.010195667605161884,-0.005457857796916938
2001-08-31,-0.00083,-0.0593322073426763,-0.04867382893371784
2001-09-28,-0.00083,-0.08163065450709561,-0.09270525870630852
2001-10-31,-0.00083,0.013021770936811894,0.014358610515017934
2001-11-30,-0.00083,0.0779773519646918,0.07269699090298462
2001-12-31,-0.00083,0.00563916950675547,0.018254255447994583
2002-01-31,-0.00083,-0.009798692654081065,-0.012428854036647684
2002-02-28,0.016723848039463887,-0.017936041749335496,0.005972500606978936
2002-03-29,0.03293844869987686,0.03327063388342699,0.04692057647311894
2002-04-30,-0.010340378933498443,-0.05815554239190379,-0.04325100415666387
2002-05-31,0.006459462576008506,-0.005933551558926831,-0.00012181104446795654
2002-06-28,-0.08040592525045924,-0.0738078587024229,-0.05568734032683455
2002-07-31,-0.0859851484434395,-0.07881935627166947,-0.08800789418152025
2002-08-30,0.007048726710780725,0.006800543095970557,0.008953531001760025
2002-09-30,-0.08192949671608102,-0.10485167483181501,-0.08848812578499904
2002-10-31,0.025145655873865188,0.08228335314361868,0.04970616597751041
2002-11-29,0.03857876105650736,0.061681188313241764,0.04863332442697983
2002-12-31,-0.022712534871734823,-0.056569844796961366,-0.030671907348203544
2003-01-31,-0.024703368697645205,-0.0245949416865473,-0.026454719762240928
2003-02-28,-0.007128000778528141,-0.013478431690431725,-0.011532717499374689
2003-03-31,0.03245473134072596,0.0021396387581338328,0.012378758010711664
2003-04-30,0.017881014299344775,0.0846115222148569,0.06398707009410609
2003-05-30,0.03723790722177049,0.05483637124749663,0.052826184944533464
2003-06-30,0.02393789673782494,0.010651478265895742,0.01251987566268001
2003-07-31,0.025517880741274705,0.018027402654426705,0.012269253198023826
2003-08-29,0.025330234101432692,0.020625781133350563,0.020256519112135017
2003-09-30,-0.02479035761097467,-0.010905994826287513,-0.004424615526632859
2003-10-31,0.06149842024171029,0.053526831259406826,0.04278305138824572
2003-11-28,0.014500953803455664,0.010921034519910444,0.013563081634756956
2003-12-31,0.04879547184954205,0.05031281650595276,0.05408632276984949
2004-01-30,0.0017104915119364088,0.019770173640625055,0.01328183307134977
2004-02-27,0.017612607728622144,0.013570330251682527,0.020762629005760556
2004-03-31,-0.0024983653121509507,-0.013245302132833703,-0.005308433519321612
2004-04-30,-0.045509029184929585,-0.01892121961860649,-0.02558481382270886
2004-05-31,0.006026814497423306,0.017122956668902845,0.018097380179394964
2004-06-30,0.03730662263751151,0.018501316301213544,0.02375162800873124
2004-07-30,-0.019963990922445614,-0.03221859678467409,-0.0207660414741179
2004-08-31,0.02879993625366321,0.0024360224132604635,0.014257206130359613
2004-09-30,0.013812006634157055,0.010037244820164437,0.014892407465141401
2004-10-29,0.006718210000581002,0.012884411469120005,0.017153743480742875
2004-11-30,0.057967161675908936,0.04451728841890956,0.04168702896093473
2004-12-31,0.00999842571940878,0.030121582608591435,0.027078532557241394
2005-01-31,-0.029300492816242415,-0.022421071306712892,-0.02089699060710868
2005-02-28,0.04599459891526022,0.020903848367296085,0.029675118494431253
2005-03-31,-0.007155827420301159,-0.01829277279674324,-0.012092887836055534
2005-04-29,-0.0028047848556192754,-0.018735170072000873,-0.012786378989525777
2005-05-31,0.01823463065145559,0.03222479546143253,0.026328528668055563
2005-06-30,0.04828357457382657,0.0015147517787255094,0.009453091513834415
2005-07-29,0.059240960431238956,0.038261403111368164,0.04035570360558216
2005-08-31,-0.012315166084908506,-0.009374603037510254,-0.009931369425086857
2005-09-30,0.03492736304569536,0.008025377900219732,0.011027900368982602
2005-10-31,-0.07452872402353636,-0.023650692530578166,-0.021419230467247464
2005-11-30,0.029599600961058167,0.04395264696627921,0.033909067679627064
2005-12-30,0.003737084930453538,-0.001913523912811077,0.005325851428163916
2006-01-31,0.04985413535321433,0.024014038693518813,0.0342579006398744
2006-02-28,-0.006857965860370226,0.0057253295818633365,0.0001358114616719843
2006-03-31,0.011867925357193103,0.016504217765656026,0.015390987433697297
2006-04-28,-0.0001800625024509059,0.012631370653757301,0.009870992042702566
2006-05-31,-0.033595500638874516,-0.03012077410233638,-0.021383813654576735
2006-06-30,0.012937432109913997,0.0026084342893823997,0.010830175097811812
2006-07-31,0.014211788643073864,0.004478324558740088,0.005841532519111428
2006-08-31,0.010515045664808664,0.02182239778709949,0.020599869342110787
2006-09-29,0.002313595489978874,0.02700123067461524,0.015516270936688947
2006-10-31,0.03928899312693589,0.031516975532863034,0.03608541337608135
2006-11-30,0.023826507754475888,0.019885158593382357,0.024781643488999403
2006-12-29,0.0006732505707493328,0.013371295727877097,0.005333096838254023
2007-01-31,0.02544531864986846,0.015040381001984349,0.02255419955376189
2007-02-28,-0.010462521992195474,-0.01961724408668819,-0.008579672668221088
2007-03-30,0.005611537254184345,0.011588449473049156,0.012067157189613436
2007-04-30,0.024777955017620878,0.044295739818636104,0.03407902285502193
2007-05-31,0.021588799793394963,0.03392044909941139,0.029765128097292422
2007-06-29,-0.024282317219604808,-0.014621147534538803,-0.021547130741732676
2007-07-31,-0.005936477738825761,-0.031310181901200274,-0.032535393802967875
2007-08-31,0.006606161267001399,0.01283298128965904,0.016904264688878422
