,XLRE,XLB,XLI,XLY,XLP,XLE,XLF,XLU,XLV,XLK,XLC,SHY
2006-12-29,,0.14285714285714285,0.035714285714285705,,0.14285714285714285,0.32142857142857145,0.21428571428571427,,,0.14285714285714285,,
2007-01-31,,0.0,0.14285714285714285,,,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,,
2007-02-28,,0.10714285714285712,0.10714285714285712,,,0.4285714285714285,0.10714285714285712,0.0714285714285714,0.10714285714285712,0.0714285714285714,,
2007-03-30,,0.24999999999999997,0.07142857142857141,0.10714285714285716,,0.2857142857142857,0.10714285714285716,,0.07142857142857141,0.10714285714285716,,
2007-04-30,,0.2692307692307692,0.0769230769230769,0.1153846153846154,,0.3076923076923077,0.1153846153846154,,,0.1153846153846154,,
2007-05-31,,0.25,0.07142857142857142,0.10714285714285718,0.07142857142857142,0.28571428571428575,0.10714285714285718,0.10714285714285718,,,,
2007-06-29,,0.16981132075471694,0.16981132075471694,0.20754716981132074,0.0188679245283019,0.0188679245283019,0.20754716981132074,0.20754716981132074,,,,
2007-07-31,,0.0909090909090909,,0.2727272727272727,0.0909090909090909,0.0909090909090909,0.2727272727272727,0.0909090909090909,0.0909090909090909,,,
2007-08-31,,0.25,,0.25,0.0,,0.25,0.25,0.0,,,
2007-09-28,,0.3235294117647059,,0.3235294117647059,,,0.029411764705882373,0.3235294117647059,,,,
2007-10-31,,0.18367346938775508,0.020408163265306114,0.18367346938775508,,0.22448979591836735,0.18367346938775508,0.18367346938775508,0.020408163265306114,,,
2007-11-30,,0.25,0.05769230769230768,0.25,,0.13461538461538458,0.25,,,0.05769230769230768,,
2007-12-31,,0.22033898305084748,0.22033898305084748,0.22033898305084748,,,0.22033898305084748,,,0.11864406779661017,,
2008-01-31,,0.24137931034482754,0.41379310344827586,0.06896551724137931,,0.10344827586206896,0.06896551724137931,,,0.10344827586206896,,
2008-02-29,,,0.3958333333333334,0.18750000000000003,,,0.18750000000000003,0.18750000000000003,0.02083333333333334,0.02083333333333334,,
2008-03-31,,,,,,,,0.2857142857142857,0.2857142857142857,0.4285714285714285,,
2008-04-30,,,,,,,,0.28571428571428575,0.28571428571428575,0.4285714285714286,,
2008-05-30,,,,,,,0.4736842105263158,0.052631578947368425,0.4736842105263158,,,
2008-06-30,,,0.16666666666666666,0.16666666666666666,,,0.24999999999999994,,0.24999999999999994,0.16666666666666666,,
2008-07-31,,0.11111111111111112,0.6666666666666666,,,0.11111111111111112,,,,0.11111111111111112,,
2008-08-29,,,,,,,,,,0.225,,0.7749999999999999
2008-09-30,,0.14893617021276592,0.2765957446808511,,,,,,,,,0.5744680851063829
2008-10-31,,,,,,,,,,,,1.0
2008-11-28,,,,,,,,,,,,1.0
2008-12-31,,,,,,,,,,,,1.0
2009-01-30,,,,,,,,,,,,1.0
2009-02-27,,,,,,,,,,,,1.0
2009-03-31,,,,,,,,,,,,1.0
2009-04-30,,,,,,,,,,,,1.0
2009-05-29,,,,,,,,,,,,1.0
2009-06-30,,,,,,,,,,,,1.0
2009-07-31,,,,,,,,,,,,1.0
2009-08-31,,,,,,,,,,,,1.0
2009-09-30,,,,,,,,,,,,1.0
2009-10-30,,,,,,,,,,,,1.0
2009-11-30,,,,,,,,,,,,1.0
2009-12-31,,,,,,,,,,,,1.0
2010-01-29,,,,,,,,,,,,1.0
2010-02-26,,,,,,,,0.30000000000000004,,,,0.6999999999999998
2010-03-31,,0.16666666666666663,,,,0.25000000000000006,,0.16666666666666663,0.25000000000000006,0.16666666666666663,,
2010-04-30,,0.07142857142857147,,0.07142857142857147,,0.07142857142857147,0.6428571428571427,,0.07142857142857147,0.07142857142857147,,
2010-05-31,,0.0,0.0,0.0,0.5,0.0,0.5,,0.0,0.0,,
2010-06-30,,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.3170731707317073,0.07317073170731707,0.07317073170731707,0.17073170731707316,0.07317073170731707,0.07317073170731707,,
2010-07-30,,0.02702702702702705,0.02702702702702705,0.02702702702702705,0.2972972972972973,0.02702702702702705,0.02702702702702705,0.24324324324324317,0.2972972972972973,0.02702702702702705,,
2010-08-31,,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.29545454545454547,0.06818181818181818,0.06818181818181818,,0.29545454545454547,0.06818181818181818,,
2010-09-30,,0.0967741935483871,0.0967741935483871,0.0967741935483871,,0.0967741935483871,0.0967741935483871,,0.41935483870967744,0.0967741935483871,,
2010-10-29,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,,
2010-11-30,,,,,,,,,,,,
2010-12-31,,,0.09090909090909088,,,,0.09090909090909088,0.09090909090909088,0.36363636363636365,0.36363636363636365,,
2011-01-31,,0.14285714285714288,0.14285714285714288,0.14285714285714288,,,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,,
2011-02-28,,0.10344827586206891,0.24137931034482765,0.10344827586206891,,,0.24137931034482765,0.10344827586206891,0.10344827586206891,0.10344827586206891,,
2011-03-31,,0.0,0.25,0.25,0.25,,0.0,0.0,0.0,0.25,,
2011-04-29,,0.03030303030303033,0.3333333333333333,0.2727272727272727,,0.03030303030303033,0.03030303030303033,0.03030303030303033,,0.2727272727272727,,
2011-05-31,,0.11475409836065574,0.049180327868852465,0.2786885245901639,,0.11475409836065574,0.11475409836065574,0.21311475409836067,,0.11475409836065574,,
2011-06-30,,0.15789473684210525,0.017543859649122806,0.3333333333333333,0.017543859649122806,0.15789473684210525,0.15789473684210525,,,0.15789473684210525,,
2011-07-29,,0.07407407407407408,0.07407407407407408,0.25925925925925924,,0.25925925925925924,0.25925925925925924,,,0.07407407407407408,,
2011-08-31,,0.06306306306306306,0.06306306306306306,0.15315315315315314,0.11711711711711711,0.15315315315315314,0.15315315315315314,0.20720720720720717,0.027027027027027025,0.06306306306306306,,
2011-09-30,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,,0.0,0.0,,
2011-10-31,,,,,0.9,,,,0.09999999999999996,,,
2011-11-30,,,,,,,,,,,,
2011-12-30,,,,,,,,,,,,
2012-01-31,,,,,,1.0,,,,,,
2012-02-29,,,,,,0.5,,0.5,,,,
2012-03-30,,0.25,0.25,,,0.25,0.0,0.0,0.25,,,
2012-04-30,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727,,
2012-05-31,,0.1764705882352941,0.019607843137254895,0.21568627450980393,0.1764705882352941,0.1764705882352941,0.019607843137254895,0.019607843137254895,0.019607843137254895,0.1764705882352941,,
2012-06-29,,0.0588235294117647,0.0588235294117647,0.23529411764705888,0.35294117647058826,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,,
2012-07-31,,0.35294117647058826,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.23529411764705888,0.0588235294117647,0.0588235294117647,,
2012-08-31,,0.055555555555555594,0.055555555555555594,0.055555555555555594,0.6111111111111109,0.055555555555555594,,0.055555555555555594,0.055555555555555594,0.055555555555555594,,
2012-09-28,,0.062499999999999986,0.062499999999999986,0.062499999999999986,0.375,0.25000000000000006,0.062499999999999986,0.062499999999999986,,0.062499999999999986,,
2012-10-31,,0.23913043478260868,0.19565217391304343,0.23913043478260868,0.23913043478260868,0.021739130434782625,,0.021739130434782625,0.021739130434782625,0.021739130434782625,,
2012-11-30,,0.12962962962962962,0.2407407407407407,0.12962962962962962,0.12962962962962962,0.12962962962962962,,0.12962962962962962,0.05555555555555556,0.05555555555555556,,
2012-12-31,,0.04615384615384616,0.26153846153846155,0.20000000000000004,0.20000000000000004,0.04615384615384616,0.10769230769230771,0.04615384615384616,0.04615384615384616,0.04615384615384616,,
2013-01-31,,0.07692307692307691,0.23076923076923073,0.07692307692307691,0.23076923076923073,0.07692307692307691,0.07692307692307691,0.07692307692307691,0.07692307692307691,0.07692307692307691,,
2013-02-28,,0.10344827586206899,0.24137931034482757,0.10344827586206899,0.10344827586206899,0.10344827586206899,0.0689655172413793,0.0689655172413793,0.10344827586206899,0.10344827586206899,,
2013-03-29,,0.10344827586206899,0.24137931034482757,0.10344827586206899,0.10344827586206899,0.10344827586206899,0.0689655172413793,0.0689655172413793,0.10344827586206899,0.10344827586206899,,
2013-04-30,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2013-05-31,,0.03703703703703706,0.03703703703703706,0.03703703703703706,0.4074074074074074,0.03703703703703706,0.3333333333333332,0.03703703703703706,0.03703703703703706,0.03703703703703706,,
2013-06-28,,0.15384615384615388,0.15384615384615388,0.23076923076923078,0.15384615384615388,0.15384615384615388,0.03846153846153845,0.03846153846153845,0.03846153846153845,0.03846153846153845,,
2013-07-31,,0.15384615384615388,0.15384615384615388,0.23076923076923078,0.15384615384615388,0.15384615384615388,0.03846153846153845,0.03846153846153845,0.03846153846153845,0.03846153846153845,,
2013-08-30,,0.1636363636363636,0.19999999999999998,0.1636363636363636,0.19999999999999998,0.19999999999999998,0.018181818181818195,0.018181818181818195,0.018181818181818195,0.018181818181818195,,
2013-09-30,,0.1636363636363636,0.19999999999999998,0.1636363636363636,0.19999999999999998,0.19999999999999998,0.018181818181818195,0.018181818181818195,0.018181818181818195,0.018181818181818195,,
2013-10-31,,0.15555555555555553,0.06666666666666667,0.15555555555555553,0.28888888888888886,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,
2013-11-29,,0.15000000000000002,0.09999999999999998,0.15000000000000002,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,,
2013-12-31,,0.33333333333333326,0.03703703703703707,0.03703703703703707,0.03703703703703707,0.03703703703703707,0.03703703703703707,0.40740740740740744,0.03703703703703707,0.03703703703703707,,
2014-01-31,,0.15000000000000002,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.15000000000000002,0.09999999999999998,,
2014-02-28,,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.3333333333333331,0.08333333333333337,,
2014-03-31,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2014-04-30,,0.06122448979591837,0.06122448979591837,0.3469387755102041,0.06122448979591837,0.06122448979591837,0.14285714285714285,0.06122448979591837,0.14285714285714285,0.06122448979591837,,
2014-05-30,,0.06122448979591837,0.06122448979591837,0.3469387755102041,0.06122448979591837,0.06122448979591837,0.14285714285714285,0.06122448979591837,0.14285714285714285,0.06122448979591837,,
2014-06-30,,0.06122448979591837,0.06122448979591837,0.3469387755102041,0.06122448979591837,0.06122448979591837,0.14285714285714285,0.06122448979591837,0.14285714285714285,0.06122448979591837,,
2014-07-31,,0.05405405405405404,0.05405405405405404,0.21621621621621623,0.05405405405405404,0.05405405405405404,0.08108108108108109,0.08108108108108109,0.21621621621621623,0.18918918918918917,,
2014-08-29,,0.05405405405405404,0.05405405405405404,0.21621621621621623,0.05405405405405404,0.05405405405405404,0.08108108108108109,0.08108108108108109,0.21621621621621623,0.18918918918918917,,
2014-09-30,,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,
2014-10-31,,0.19999999999999998,0.01818181818181819,0.01818181818181819,0.16363636363636358,0.19999999999999998,0.01818181818181819,0.19999999999999998,0.01818181818181819,0.16363636363636358,,
2014-11-28,,0.2391304347826087,0.021739130434782625,0.021739130434782625,,0.4565217391304347,0.021739130434782625,0.021739130434782625,0.021739130434782625,0.19565217391304343,,
2014-12-31,,0.32075471698113206,0.056603773584905676,0.056603773584905676,,0.32075471698113206,0.056603773584905676,,0.13207547169811318,0.056603773584905676,,
2015-01-30,,0.34615384615384615,0.03846153846153845,0.03846153846153845,,0.34615384615384615,0.03846153846153845,,0.03846153846153845,0.15384615384615383,,
2015-02-27,,0.30357142857142855,0.05357142857142858,0.05357142857142858,,0.30357142857142855,0.05357142857142858,0.05357142857142858,0.05357142857142858,0.12499999999999997,,
2015-03-31,,0.33999999999999997,0.060000000000000005,,0.14,0.14,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.14,,
2015-04-30,,0.1,0.1,,0.30000000000000004,0.1,0.1,0.1,0.1,0.1,,
2015-05-29,,0.09090909090909093,0.09090909090909093,0.09090909090909093,0.27272727272727276,0.09090909090909093,0.09090909090909093,0.09090909090909093,0.09090909090909093,0.09090909090909093,,
2015-06-30,,0.0,0.0,,0.5,0.0,0.0,0.5,0.0,0.0,,
2015-07-31,,0.125,0.125,,,0.125,,0.375,0.125,0.125,,
2015-08-31,,0.125,0.08333333333333334,0.125,0.125,0.125,0.08333333333333334,0.125,0.125,0.08333333333333334,,
2015-09-30,,0.13043478260869565,0.08695652173913045,0.13043478260869565,,0.3478260869565218,0.08695652173913045,,0.13043478260869565,0.08695652173913045,,
2015-10-30,,0.33333333333333337,,,,0.6666666666666667,0.0,,0.0,,,
2015-11-30,,,,,,,,,1.0,,,
2015-12-31,,,,0.45,,0.45,0.05,,0.05,,,
2016-01-29,,,,0.6842105263157894,,,0.15789473684210525,,0.15789473684210525,,,
2016-02-29,,,,0.5714285714285715,,,0.21428571428571425,,0.21428571428571425,,,
2016-03-31,,,,0.5384615384615384,,0.15384615384615385,0.15384615384615385,,0.15384615384615385,,,
2016-04-29,,,,0.5,0.25,,0.0,,0.0,0.25,,
2016-05-31,,,,0.3962264150943396,0.20754716981132076,,0.018867924528301886,,0.16981132075471697,0.20754716981132076,,
2016-06-30,,0.1,0.1,0.4,,,0.06666666666666667,,0.1,0.2333333333333333,,
2016-07-29,,,,0.3220338983050847,0.3220338983050847,,0.016949152542372878,,0.18644067796610173,0.15254237288135594,,
2016-08-31,,,,0.2957746478873239,0.2957746478873239,0.1267605633802817,,0.15492957746478872,0.1267605633802817,,,
2016-09-30,,,,0.25373134328358204,0.4029850746268656,,0.19402985074626866,0.10447761194029849,0.04477611940298507,,,
2016-10-31,,0.19999999999999998,0.03333333333333333,0.19999999999999998,0.3666666666666667,0.13333333333333333,,0.03333333333333333,0.03333333333333333,,,
2016-11-30,,,,0.049999999999999996,0.55,,,0.29999999999999993,0.049999999999999996,0.049999999999999996,,
2016-12-30,,,,0.11111111111111109,0.44444444444444436,,,0.25925925925925924,0.07407407407407407,0.11111111111111109,,
2017-01-31,,,,0.16666666666666669,0.5,,,0.16666666666666669,0.16666666666666669,,,
2017-02-28,,0.23684210526315788,0.23684210526315788,,0.23684210526315788,0.23684210526315788,,0.026315789473684202,0.026315789473684202,,,
2017-03-31,,0.024999999999999994,0.225,,0.024999999999999994,0.475,0.225,0.024999999999999994,,,,
2017-04-28,,0.07142857142857141,0.10714285714285715,,,0.4642857142857143,0.2857142857142857,0.07142857142857141,,,,
2017-05-31,,0.04054054054054054,0.0945945945945946,,,0.5,0.3648648648648649,,,,,
2017-06-30,,0.15000000000000002,0.05,0.05,0.05,0.35000000000000003,0.25,0.05,,0.05,,
2017-07-31,,0.15789473684210528,0.05263157894736843,0.05263157894736843,0.05263157894736843,0.26315789473684215,0.26315789473684215,0.05263157894736843,0.05263157894736843,0.05263157894736843,,
2017-08-31,,0.18627450980392155,0.10784313725490197,0.009803921568627458,0.009803921568627458,0.2058823529411765,0.30392156862745096,,0.08823529411764705,0.08823529411764705,,
2017-09-29,0.0857142857142857,,,0.07142857142857142,0.07142857142857142,0.22857142857142856,0.3857142857142857,0.07142857142857142,,0.0857142857142857,,
2017-10-31,,,,0.09433962264150944,0.30188679245283023,0.09433962264150944,0.30188679245283023,0.09433962264150944,,0.11320754716981131,,
2017-11-30,,0.2419354838709677,0.11290322580645161,0.11290322580645161,0.29032258064516125,0.06451612903225803,0.11290322580645161,,,0.06451612903225803,,
2017-12-29,0.054545454545454536,0.2545454545454546,0.14545454545454545,,,0.054545454545454536,0.14545454545454545,0.14545454545454545,0.14545454545454545,0.054545454545454536,,
2018-01-31,0.13114754098360656,0.2295081967213115,0.04918032786885245,,,0.04918032786885245,0.04918032786885245,0.3114754098360656,0.13114754098360656,0.04918032786885245,,
2018-02-28,0.15384615384615388,0.08791208791208793,0.08791208791208793,,0.03296703296703297,0.08791208791208793,0.08791208791208793,0.27472527472527475,0.15384615384615388,0.03296703296703297,,
2018-03-30,0.016949152542372885,0.016949152542372885,0.016949152542372885,0.016949152542372885,0.016949152542372885,0.20338983050847453,0.016949152542372885,0.16949152542372878,0.3559322033898305,0.16949152542372878,,
2018-04-30,0.03896103896103895,0.03896103896103895,0.1038961038961039,0.03896103896103895,0.03896103896103895,0.18181818181818182,0.1038961038961039,0.1038961038961039,0.1038961038961039,0.24675324675324672,,
2018-05-31,0.05797101449275363,0.05797101449275363,0.10144927536231885,,0.05797101449275363,,0.2608695652173913,0.10144927536231885,0.10144927536231885,0.2608695652173913,,
2018-06-29,,0.060975609756097573,0.20731707317073172,,0.060975609756097573,0.060975609756097573,0.34146341463414637,,0.060975609756097573,0.20731707317073172,,
2018-07-31,0.12612612612612611,0.027027027027027025,0.17117117117117117,0.027027027027027025,0.027027027027027025,0.027027027027027025,0.2702702702702703,0.12612612612612611,0.027027027027027025,0.17117117117117117,,
2018-08-31,0.14782608695652175,0.04347826086956522,0.1391304347826087,0.05217391304347826,0.05217391304347826,0.04347826086956522,0.23478260869565218,0.14782608695652175,,0.1391304347826087,,
2018-09-28,0.053191489361702135,0.06382978723404255,0.06382978723404255,0.053191489361702135,0.053191489361702135,0.06382978723404255,0.2978723404255319,0.17021276595744683,,0.18085106382978725,,
2018-10-31,0.02040816326530613,0.1326530612244898,0.02040816326530613,0.02040816326530613,,0.1326530612244898,0.24489795918367346,0.2040816326530612,0.09183673469387756,0.1326530612244898,,
2018-11-30,,0.16666666666666669,0.01388888888888888,0.01388888888888888,,0.3194444444444445,0.16666666666666669,,,0.3194444444444445,,
2018-12-31,0.0631578947368421,0.1789473684210526,0.05263157894736842,0.0631578947368421,0.16842105263157894,0.1789473684210526,0.0631578947368421,,0.05263157894736842,0.1789473684210526,,
2019-01-31,,0.18390804597701152,0.06896551724137931,0.05747126436781609,0.19540229885057475,0.18390804597701152,0.05747126436781609,,0.06896551724137931,0.18390804597701152,,
2019-02-28,,0.13043478260869565,,0.13043478260869565,,0.13043478260869565,0.13043478260869565,,0.10869565217391305,0.3695652173913043,,
2019-03-29,,,0.225,0.04999999999999998,,0.225,0.225,,0.04999999999999998,0.225,,
2019-04-30,,,,,,0.21052631578947367,0.21052631578947367,0.3684210526315791,0.21052631578947367,,,
2019-05-31,,0.09090909090909091,0.24242424242424246,,0.09090909090909091,0.09090909090909091,0.24242424242424246,,0.24242424242424246,,,
2019-06-28,0.2058823529411765,0.1176470588235294,,0.1176470588235294,,0.1176470588235294,,0.1176470588235294,0.2058823529411765,0.1176470588235294,,
