Date,Adj Close,BIL,avg_er,ER,c_exc_ret,c_avg_ret,compp,composite
2001-08-31,-0.17015252618829635,-0.01487697882891481,-77.09715042857124,-0.15527554735938154,0,0,0,0
2001-09-28,-0.1604916443287635,-0.022725102644896245,-141.30859399999986,-0.13776654168386726,0,0,0,0
2001-10-31,-0.08665632260898037,-0.021017274472168834,-108.10423071428545,-0.06563904813681154,0,0,0,0
2001-11-30,-0.0880460466391848,-0.020315809743886026,-12.718592999999828,-0.06773023689529878,0,0,0,0
2001-12-31,-0.08579254561385985,-0.01776919362626772,11.302839142857238,-0.06802335198759213,0,1,1,0
2002-01-31,-0.07692060766706166,-0.017765762286376385,6.877127571428673,-0.05915484538068527,0,1,1,0
2002-02-28,-0.08627593580535386,-0.01643147109994192,-1.6642719999997553,-0.06984446470541195,0,0,0,0
2002-03-29,0.012182695121683906,-0.014908034849951513,37.02289742857147,0.02709072997163542,1,1,2,1
2002-04-30,0.03456501339110396,-0.005959941377625788,-38.587088285714344,0.04052495476872975,1,0,1,0
2002-05-31,0.006944824207476996,-0.0029408881482209104,-49.41854385714305,0.009885712355697907,1,0,1,0
2002-06-28,-0.13131769751596578,-0.0007862407862408993,-105.36284557142858,-0.13053145672972488,0,0,0,0
2002-07-31,-0.20596123097893382,-0.00029495624815656374,-149.7828631428573,-0.20566627473077725,0,0,0,0
2002-08-30,-0.18946200078184217,-0.0006880959402340014,-114.74285914285701,-0.18877390484160816,0,0,0,0
2002-09-30,-0.26334332336420496,-0.0021619496855346254,-173.89712985714277,-0.26118137367867034,0,0,0,0
2002-10-31,-0.22802185968125233,-0.0033411949685534514,-66.0414338571428,-0.22468066471269887,0,0,0,0
2002-11-29,-0.1305668389992376,-0.0053076469431885265,4.595703571428771,-0.12525919205604907,0,1,1,0
2002-12-31,-0.17553461154767014,-0.005014256218660806,-25.134286285714097,-0.17052035532900933,0,0,0,0
2003-01-31,-0.1354993777166601,-0.00501622897609888,-30.09428200000002,-0.13048314874056122,0,0,0,0
2003-02-28,-0.07730191459874669,-0.0049173878835561124,-34.577131285714245,-0.07238452671519058,0,0,0,0
2003-03-31,-0.07411007180808182,-0.0053118237261459145,-17.848588857142772,-0.06879824808193591,0,0,0,0
2003-04-30,0.12466876457733034,-0.004234784321449636,36.371407714285965,0.12890354889877997,1,1,2,1
2003-05-30,0.08786806372078138,-0.0032537960954448497,71.92287785714302,0.09112185981622622,1,1,2,1
2003-06-30,0.04078777550338608,-0.0030632411067195164,77.37713628571441,0.0438510166101056,1,1,2,1
2003-07-31,0.12558249428397006,-0.0025691699604741824,77.40284985714311,0.12815166424444424,1,1,2,1
2003-08-29,0.17799461945081774,-0.0019770660340056034,73.34429071428599,0.17997168548482334,1,1,2,1
2003-09-30,0.18405747201167544,-0.0024708440403241605,39.1871164285717,0.1865283160519996,1,1,2,1
2003-10-31,0.23878182658335834,-0.0017800632911392222,64.9942538571429,0.24056188987449756,1,1,2,1
2003-11-28,0.15408102192053552,-0.0019780437147661756,52.30139128571432,0.1560590656353017,1,1,2,1
2003-12-31,0.1539347781149254,-0.0015827480462952126,84.83148185714276,0.1555175261612206,1,1,2,1
2004-01-30,0.16072858388917388,9.911785112493021e-05,81.66572785714266,0.16062946603804895,1,1,2,1
2004-02-27,0.1561429686787834,0.0,73.38567199999966,0.1561429686787834,1,1,2,1
2004-03-31,0.1172606916869805,-0.00029714738510300265,37.769984714285556,0.1175578390720835,1,1,2,1
2004-04-30,0.11178055688588606,0.00029723570791628795,2.9557758571427257,0.11148332117796977,1,1,2,1
2004-05-31,0.06659315662469467,0.0011888250445806214,6.340053285714021,0.06540433158011405,1,1,2,1
2004-06-30,0.0780948958860801,0.003963928252898707,14.694248857142838,0.07413096763318139,1,1,2,1
2004-07-30,-0.009173387110917086,0.004854849895967517,-22.968592857142767,-0.014028237006884603,0,0,0,0
2004-08-31,-0.023772700645492972,0.006640237859266707,-16.607143142857012,-0.03041293850475968,0,0,0,0
2004-09-30,-0.02651666162810551,0.0073310877749155345,-1.930036428571384,-0.033847749403021044,0,0,0,0
2004-10-29,0.0035428473714236297,0.009313385514712946,13.119959999999992,-0.005770538143289317,0,1,1,0
2004-11-30,0.060073958327802934,0.01218304278922333,47.237112571428725,0.047890915538579604,1,1,2,1
2004-12-31,0.08141484242031494,0.011082525232535279,72.3029262857142,0.07033231718777966,1,1,2,1
2005-01-31,0.03543884787079765,0.011548711874444617,35.877180285714076,0.023890135996353035,1,1,2,1
2005-02-28,0.09247359372774766,0.012817984618418654,43.65284985714288,0.079655609109329,1,1,2,1
2005-03-31,0.06914255659224944,0.01142069508713206,9.73570042857159,0.05772186150511738,1,1,2,1
2005-04-29,0.03792461884179077,0.011408339889850572,-20.04286385714272,0.026516278951940198,1,0,1,0
2005-05-31,0.05423823363800517,0.010405418670855093,5.850010285714461,0.04383281496715008,1,1,2,1
2005-06-30,0.014917117450311101,0.008513553185243161,3.178536285714472,0.00640356426506794,1,1,2,1
2005-07-29,0.01836755659765288,0.011352515169309019,42.848632857143,0.00701504142834386,1,1,2,1
2005-08-31,0.03306605207842317,0.00936768149882905,23.418544000000338,0.02369837057959412,1,1,2,1
2005-09-30,0.020945566220250456,0.007301401869158841,28.29720657142866,0.013644164351091614,1,1,2,1
2005-10-31,0.022378679101868526,0.011291735617638299,2.722865571428656,0.011086943484230227,1,1,2,1
2005-11-30,0.08007088725565237,0.009918319719953272,31.95997785714303,0.0701525675356991,1,1,2,1
2005-12-30,0.04766264288711697,0.010298260954046512,22.65717414285723,0.037364381933070456,1,1,2,1
2006-01-31,0.07449657381065644,0.012711042111391402,41.76851971428596,0.06178553169926504,1,1,2,1
2006-02-28,0.03766061511799479,0.011321850203212636,35.70860057142886,0.026338764914782153,1,1,2,1
2006-03-31,0.06108187268001464,0.010440835266821269,39.26998457142895,0.05064103741319337,1,1,2,1
2006-04-28,0.06656840526400676,0.01140427176959502,43.32427085714289,0.05516413349441174,1,1,2,1
2006-05-31,0.05226133625851204,0.008181730676677379,-6.207170428571317,0.04407960558183466,1,0,1,0
2006-06-30,0.016582875541551356,0.009724629308684785,-9.05718128571425,0.006858246232866572,1,0,1,0
2006-07-31,0.022727085944487024,0.009423983075295794,-6.649954714285741,0.01330310286919123,1,0,1,0
2006-08-31,0.018545708718213927,0.005269713519210351,17.118530142857026,0.013275995199003576,1,1,2,1
2006-09-29,0.043094920224550304,0.00248780021050643,41.26428271428563,0.040607120014043874,1,1,2,1
2006-10-31,0.0641531167767928,0.004114045158821522,71.48711257142872,0.060039071617971285,1,1,2,1
