,Average,bmSPY
AnnRet(%),6.7,6.2
AnnRisk(%),9.891605926538574,14.247132986212927
AnnSharpe(2.5%),0.6444535599403497,0.4115348685475944
Avg_DD(%),3.421,5.201
MaxDD(%),22.232,46.322
WinRate(%),61.6,63.800000000000004
Gain_to_Loss,1.094,0.816
RoMDD,0.301,0.133
Sortino(5%),0.6720380417062491,0.45215982901002183
Sterling_Ratio(over MDD),0.301,0.133
beta,0.42381418532523174,0.9999999999999998
ann_alpha,0.003186030080126882,2.1141942363467336e-18
R_squared,0.3675239325251989,1.0
p_value,0.04559431674584541,0.0009290561306448043
tvalue,2.011148248197438,3.359180690918672
1YrReturns,14.101090471687705,16.136712992611415
1YrRisk,9.453290032436087,8.950113720776855
3YrReturns,8.198425388382425,12.388680764416971
3YrRisk,9.055975280263052,10.292786569715563
5YrReturns,10.13901844717886,12.983990842800065
5YrRisk,9.193598461207111,9.73253728284337
Total Return,1.2286060123124838,1.2366553540446064
Best_Month,8.469348742534548,10.914713010345256
Worst_Month,-9.704158045931282,-16.518625676257393
Best_Year,31.200983808816485,28.660059746580323
Worst_Year,-14.838021220765294,-42.87458516954188
