,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY
AnnRet(%),8.3,6.2,7.3999999999999995,6.2,7.7,6.2,8.1,6.2,7.3,6.2,8.0,6.2,7.5,6.2,8.9,6.2,7.1,6.2,6.1,6.2,7.6,6.2,7.9,6.2,6.7,6.2
AnnRisk(%),10.769626911091466,14.247132986212927,11.699826945248125,14.247132986212927,11.161762193024664,14.247132986212927,10.509509309712131,14.247132986212927,10.891636635276312,14.247132986212927,10.862363843962413,14.247132986212927,10.581678607578809,14.247132986212927,10.700072046599763,14.247132986212927,10.337418905649763,14.247132986212927,10.965890765333636,14.247132986212927,10.57860424081087,14.247132986212927,10.716362954617683,14.247132986212927,10.617192083200216,14.247132986212927
AnnSharpe,0.7379315848169733,0.4115348685475944,0.6028977729708257,0.4115348685475944,0.6570343404583013,0.4115348685475944,0.7382243926205618,0.4115348685475944,0.6372820382966276,0.4115348685475944,0.7075874244162005,0.4115348685475944,0.6831976252486146,0.4115348685475944,0.8049143292773356,0.4115348685475944,0.6533424980353051,0.4115348685475944,0.5255370166410083,0.4115348685475944,0.6900542081449269,0.4115348685475944,0.7073362725997667,0.4115348685475944,0.6018582060128889,0.4115348685475944
Avg_DD(%),3.947,5.284,4.466,5.284,4.147,5.284,3.425,5.284,4.166,5.284,3.616,5.284,3.921,5.284,3.113,5.284,3.789,5.284,4.754,5.284,3.877,5.284,3.547,5.284,4.318,5.284
MaxDD(%),26.743,46.322,28.775,46.322,26.388,46.322,20.553,46.322,26.66,46.322,22.202,46.322,21.583,46.322,22.131,46.322,27.854,46.322,26.392,46.322,26.429,46.322,22.487,46.322,32.816,46.322
WinRate(%),60.199999999999996,63.800000000000004,56.89999999999999,63.800000000000004,61.1,63.800000000000004,59.699999999999996,63.800000000000004,59.699999999999996,63.800000000000004,63.5,63.800000000000004,60.199999999999996,63.800000000000004,63.0,63.800000000000004,59.199999999999996,63.800000000000004,56.89999999999999,63.800000000000004,59.699999999999996,63.800000000000004,63.5,63.800000000000004,57.8,63.800000000000004
Gain_to_Loss,1.219,0.816,1.316,0.816,1.113,0.816,1.263,0.816,1.176,0.816,1.052,0.816,1.196,0.816,1.15,0.816,1.214,0.816,1.221,0.816,1.228,0.816,1.05,0.816,1.243,0.816
RoMDD,0.309,0.133,0.256,0.133,0.29,0.133,0.393,0.133,0.272,0.133,0.361,0.133,0.35,0.133,0.404,0.133,0.254,0.133,0.23,0.133,0.288,0.133,0.351,0.133,0.204,0.133
Sortino(5%),0.7591492769305247,0.45215982901002183,0.6592373517850055,0.45215982901002183,0.6857240271520637,0.45215982901002183,0.770803601581889,0.45215982901002183,0.659410184342254,0.45215982901002183,0.7380185181831785,0.45215982901002183,0.7082026474539904,0.45215982901002183,0.8445704727374324,0.45215982901002183,0.6745723028775044,0.45215982901002183,0.5457601152802848,0.45215982901002183,0.7209511241095518,0.45215982901002183,0.7325188058895766,0.45215982901002183,0.6221899162388885,0.45215982901002183
Sterling_Ratio(over MDD),0.309,0.133,0.256,0.133,0.29,0.133,0.393,0.133,0.272,0.133,0.361,0.133,0.35,0.133,0.404,0.133,0.254,0.133,0.23,0.133,0.288,0.133,0.351,0.133,0.204,0.133
beta,0.46705735884793,0.9999999999999998,0.5347131964392464,0.9999999999999998,0.5308266004968607,0.9999999999999998,0.4636955272937619,0.9999999999999998,0.4832176934635757,0.9999999999999998,0.4993443300766567,0.9999999999999998,0.4643582853923439,0.9999999999999998,0.4942579175529147,0.9999999999999998,0.4333108935827821,0.9999999999999998,0.5183495000726008,0.9999999999999998,0.4731128990860505,0.9999999999999998,0.4976722626586071,0.9999999999999998,0.4424285445487182,0.9999999999999998
