,Average,bmSPY
AnnRet(%),6.5,6.2
AnnRisk(%),10.849489826693448,14.247132986212927
AnnSharpe(2.5%),0.5693284663770346,0.4115348685475944
Avg_DD(%),3.907,5.201
MaxDD(%),28.098,46.322
WinRate(%),59.199999999999996,63.800000000000004
Gain_to_Loss,1.135,0.816
RoMDD,0.231,0.133
Sortino(5%),0.5963329362659876,0.45215982901002183
Sterling_Ratio(over MDD),0.231,0.133
beta,0.5378518507636951,0.9999999999999998
ann_alpha,0.0024758132769715953,2.1141942363467336e-18
R_squared,0.4945691425827655,1.0
p_value,0.11213451245982228,0.0009290561306448043
tvalue,1.5953968888016703,3.359180690918672
1YrReturns,15.960528962368304,16.136712992611415
1YrRisk,8.681037535453912,8.950113720776855
3YrReturns,9.327516638199619,12.388680764416971
3YrRisk,9.658783366764444,10.292786569715563
5YrReturns,9.507721879734365,12.983990842800065
5YrRisk,9.695456437514057,9.73253728284337
Total Return,1.2133943597597214,1.2366553540446064
Best_Month,9.954674011080451,10.914713010345256
Worst_Month,-10.451428424147924,-16.518625676257393
Best_Year,26.49919819480845,28.660059746580323
Worst_Year,-26.07555997300289,-42.87458516954188
