,Average,bmSPY
AnnRet(%),5.800000000000001,6.2
AnnRisk(%),10.486285931072798,14.247132986212927
AnnSharpe(2.5%),0.5233087253579737,0.4115348685475944
Avg_DD(%),4.314,5.201
MaxDD(%),23.46,46.322
WinRate(%),58.8,63.800000000000004
Gain_to_Loss,1.122,0.816
RoMDD,0.247,0.133
Sortino(5%),0.5381893596909425,0.45215982901002183
Sterling_Ratio(over MDD),0.247,0.133
beta,0.46245875749514,0.9999999999999998
ann_alpha,0.002325265881542894,2.1141942363467336e-18
R_squared,0.3895056312605515,1.0
p_value,0.160325013874988,0.0009290561306448043
tvalue,1.4089871796551068,3.359180690918672
1YrReturns,13.919418033223096,16.136712992611415
1YrRisk,9.09927562097885,8.950113720776855
3YrReturns,10.35731257334669,12.388680764416971
3YrRisk,10.46126690821598,10.292786569715563
5YrReturns,10.747126836016063,12.983990842800065
5YrRisk,10.013771492960993,9.73253728284337
Total Return,1.0926123522253206,1.2366553540446064
Best_Month,9.50249455499909,10.914713010345256
Worst_Month,-14.444205610400914,-16.518625676257393
Best_Year,28.557871023694798,28.660059746580323
Worst_Year,-22.973378725480018,-42.87458516954188
