,Average,bmSPY
AnnRet(%),7.1,6.2
AnnRisk(%),9.981980688328782,14.247132986212927
AnnSharpe(2.5%),0.683362799306419,0.4115348685475944
Avg_DD(%),3.349,5.201
MaxDD(%),21.163,46.322
WinRate(%),61.1,63.800000000000004
Gain_to_Loss,1.151,0.816
RoMDD,0.337,0.133
Sortino(5%),0.7119702347769677,0.45215982901002183
Sterling_Ratio(over MDD),0.337,0.133
beta,0.42344701957386555,0.9999999999999998
ann_alpha,0.0035454103890250267,2.1141942363467336e-18
R_squared,0.36007801431362096,1.0
p_value,0.028580683970671726,0.0009290561306448043
tvalue,2.204493670872528,3.359180690918672
1YrReturns,14.012638403808264,16.136712992611415
1YrRisk,9.443068593493805,8.950113720776855
3YrReturns,9.090973846897743,12.388680764416971
3YrRisk,9.33752478831044,10.292786569715563
5YrReturns,10.653478238255598,12.983990842800065
5YrRisk,9.319262323303384,9.73253728284337
Total Return,1.3040017454626156,1.2366553540446064
Best_Month,8.469348742534548,10.914713010345256
Worst_Month,-9.704158045931282,-16.518625676257393
Best_Year,31.3895398954543,28.660059746580323
Worst_Year,-14.165279548526897,-42.87458516954188
