,Average,bmSPY
AnnRet(%),7.3,6.2
AnnRisk(%),10.205282706436424,14.247132986212927
AnnSharpe(2.5%),0.6860573166978579,0.4115348685475944
Avg_DD(%),3.665,5.201
MaxDD(%),23.687,46.322
WinRate(%),59.699999999999996,63.800000000000004
Gain_to_Loss,1.206,0.816
RoMDD,0.309,0.133
Sortino(5%),0.7238764158920196,0.45215982901002183
Sterling_Ratio(over MDD),0.309,0.133
beta,0.4758264768131006,0.9999999999999998
ann_alpha,0.0034105837933777455,2.1141942363467336e-18
R_squared,0.4362873102207082,1.0
p_value,0.028135145338017958,0.0009290561306448043
tvalue,2.2107832317950873,3.359180690918672
1YrReturns,14.8984128719019,16.136712992611415
1YrRisk,9.17181988395373,8.950113720776855
3YrReturns,9.712776573621106,12.388680764416971
3YrRisk,11.280179139898076,10.292786569715563
5YrReturns,11.07656681309017,12.983990842800065
5YrRisk,10.455482485091277,9.73253728284337
Total Return,1.3373976768771192,1.2366553540446064
Best_Month,9.50249455499909,10.914713010345256
Worst_Month,-9.704158045931282,-16.518625676257393
Best_Year,29.58247303059282,28.660059746580323
Worst_Year,-24.08003492171284,-42.87458516954188
