,Average,bmSPY
AnnRet(%),6.3,6.2
AnnRisk(%),9.97922368248884,14.247132986212927
AnnSharpe(2.5%),0.5972170910954566,0.4115348685475944
Avg_DD(%),3.722,5.201
MaxDD(%),21.305,46.322
WinRate(%),60.699999999999996,63.800000000000004
Gain_to_Loss,1.092,0.816
RoMDD,0.295,0.133
Sortino(5%),0.6166981786160511,0.45215982901002183
Sterling_Ratio(over MDD),0.295,0.133
beta,0.44284501210433447,0.9999999999999998
ann_alpha,0.0027610293315004208,2.1141942363467336e-18
R_squared,0.3946585149787195,1.0
p_value,0.07885851377146576,0.0009290561306448043
tvalue,1.7659840059427372,3.359180690918672
1YrReturns,12.216356395473827,16.136712992611415
1YrRisk,9.135312804605938,8.950113720776855
3YrReturns,8.967301413869277,12.388680764416971
3YrRisk,10.321878887136684,10.292786569715563
5YrReturns,10.035389208894262,12.983990842800065
5YrRisk,9.852266734981106,9.73253728284337
Total Return,1.1614005217135586,1.2366553540446064
Best_Month,9.50249455499909,10.914713010345256
Worst_Month,-9.704158045931282,-16.518625676257393
Best_Year,30.14619560480989,28.660059746580323
Worst_Year,-17.703686133058945,-42.87458516954188
