,Average,bmSPY
AnnRet(%),6.4,6.2
AnnRisk(%),10.015740374996835,14.247132986212927
AnnSharpe(2.5%),0.6116388897777045,0.4115348685475944
Avg_DD(%),3.637,5.201
MaxDD(%),20.515,46.322
WinRate(%),60.699999999999996,63.800000000000004
Gain_to_Loss,1.101,0.816
RoMDD,0.314,0.133
Sortino(5%),0.6291714403941483,0.45215982901002183
Sterling_Ratio(over MDD),0.314,0.133
beta,0.4414895739614737,0.9999999999999998
ann_alpha,0.002902911614903591,2.1141942363467336e-18
R_squared,0.3895795694419928,1.0
p_value,0.06676858215072848,0.0009290561306448043
tvalue,1.8428407547525456,3.359180690918672
1YrReturns,13.38577140321846,16.136712992611415
1YrRisk,9.040779633975824,8.950113720776855
3YrReturns,9.372447204976208,12.388680764416971
3YrRisk,10.201457620774725,10.292786569715563
5YrReturns,10.268781043660645,12.983990842800065
5YrRisk,9.83783892704115,9.73253728284337
Total Return,1.1897373198200045,1.2366553540446064
Best_Month,8.899211709745645,10.914713010345256
Worst_Month,-9.704158045931282,-16.518625676257393
Best_Year,32.204347861122784,28.660059746580323
Worst_Year,-17.54177214937646,-42.87458516954188
