,Average,bmSPY
AnnRet(%),7.3999999999999995,6.2
AnnRisk(%),10.536366917504902,14.247132986212927
AnnSharpe(2.5%),0.6696153332183306,0.4115348685475944
Avg_DD(%),3.757,5.201
MaxDD(%),23.952,46.322
WinRate(%),59.699999999999996,63.800000000000004
Gain_to_Loss,1.195,0.816
RoMDD,0.308,0.133
Sortino(5%),0.7075947208649956,0.45215982901002183
Sterling_Ratio(over MDD),0.308,0.133
beta,0.4858125369412569,0.9999999999999998
ann_alpha,0.003426898150965563,2.1141942363467336e-18
R_squared,0.42645546773571497,1.0
p_value,0.034108082367609024,0.0009290561306448043
tvalue,2.1327930087863862,3.359180690918672
1YrReturns,13.563351779444922,16.136712992611415
1YrRisk,9.202511675329424,8.950113720776855
3YrReturns,10.7298396090852,12.388680764416971
3YrRisk,11.329108409503624,10.292786569715563
5YrReturns,11.424077863599447,12.983990842800065
5YrRisk,10.558068291914795,9.73253728284337
Total Return,1.3526305318756564,1.2366553540446064
Best_Month,9.50249455499909,10.914713010345256
Worst_Month,-11.383074928300799,-16.518625676257393
Best_Year,28.51563600773449,28.660059746580323
Worst_Year,-24.436050767938184,-42.87458516954188
