,Average,bmSPY
AnnRet(%),6.6000000000000005,6.2
AnnRisk(%),9.841525438591155,14.247132986212927
AnnSharpe(2.5%),0.6428063726920455,0.4115348685475944
Avg_DD(%),3.357,5.201
MaxDD(%),22.232,46.322
WinRate(%),62.1,63.800000000000004
Gain_to_Loss,1.072,0.816
RoMDD,0.299,0.133
Sortino(5%),0.6695212413065451,0.45215982901002183
Sterling_Ratio(over MDD),0.299,0.133
beta,0.41503538641322296,0.9999999999999998
ann_alpha,0.0031930903675007893,2.1141942363467336e-18
R_squared,0.35611981804384396,1.0
p_value,0.04588300158461663,0.0009290561306448043
tvalue,2.008444847469335,3.359180690918672
1YrReturns,14.545197018870937,16.136712992611415
1YrRisk,9.724697218534171,8.950113720776855
3YrReturns,7.789587390534702,12.388680764416971
3YrRisk,8.80919444672455,10.292786569715563
5YrReturns,9.867418946128126,12.983990842800065
5YrRisk,9.126071461540889,9.73253728284337
Total Return,1.219730618827282,1.2366553540446064
Best_Month,8.469348742534548,10.914713010345256
Worst_Month,-9.704158045931282,-16.518625676257393
Best_Year,31.200983808816485,28.660059746580323
Worst_Year,-15.653711511143179,-42.87458516954188
