,Average,bmSPY,EW
2001-01-31,-0.00083,,
2001-02-28,-0.00083,-0.095327297325424,-0.04872544018867967
2001-03-30,-0.00083,-0.0560220867364547,-0.05365822994713048
2001-04-30,-0.00083,0.08542529856202763,0.0789213542195873
2001-05-31,-0.00083,-0.005613562366677871,0.01747924938561655
2001-06-29,-0.00083,-0.023822964886530462,-0.03224513082503275
2001-07-31,-0.00083,-0.010178117048346036,-0.00547793619831791
2001-08-31,-0.00083,-0.059359663472773994,-0.04871419630877204
2001-09-28,-0.00083,-0.0816149068322981,-0.09590843973272728
2001-10-31,-0.00083,0.012985256323549299,0.019841532878699338
2001-11-30,-0.00083,0.07798103885699037,0.07407099845666099
2001-12-31,-0.00083,0.005574136008918762,0.017007802329197914
2002-01-31,-0.00083,-0.009731460950973214,-0.0128304071173876
2002-02-28,-0.00083,-0.01791267570593358,0.003763866614735033
2002-03-29,-0.00083,0.033185560481317156,0.04477440596811087
2002-04-30,-0.00083,-0.0581095991173225,-0.047868549117229944
2002-05-31,-0.00083,-0.005987244565924699,-0.002103643601629105
2002-06-28,-0.00083,-0.07372004713892899,-0.06495876784924065
2002-07-31,-0.00083,-0.07888040712468192,-0.09161182821690624
2002-08-30,-0.00083,0.006752608962553586,0.010219561163232761
2002-09-30,-0.00083,-0.10472560975609757,-0.10470701913031764
2002-10-31,-0.00083,0.08224076281287251,0.06733070771696893
2002-11-29,-0.00083,0.06167400881057272,0.05406224049200749
2002-12-31,-0.00083,-0.056609365737996575,-0.03978503445498649
2003-01-31,-0.016930351646810615,-0.024505183788878337,-0.028813741451026678
2003-02-28,-0.021438719491592224,-0.013526570048309261,-0.01680430955681542
2003-03-31,0.014346924795626558,0.0021221025138753458,0.011642063263297074
2003-04-30,0.10705907792017465,0.08454145626323495,0.07494235488684194
2003-05-30,0.09112113408447375,0.054821267647942484,0.05826358528312175
2003-06-30,-0.00083,0.010679196924391343,0.012258021299385765
2003-07-31,-0.011857239978336466,0.018033248802479696,0.009526871492815121
2003-08-29,0.05115795762831469,0.020619983393301844,0.02427121975155344
2003-09-30,-0.012036545602972959,-0.010847457627118584,-0.010325176681012837
2003-10-31,0.0266444791299318,0.05346127484578456,0.05095094776652936
2003-11-28,0.015155557239480383,0.010930383864671489,0.011590623997347758
2003-12-31,0.04750200056898051,0.05032822757111588,0.061543378100416136
2004-01-30,0.021376071923789316,0.019730392156862786,0.011829320603945592
2004-02-27,0.02827075615344059,0.013580098545848074,0.023151986461064644
2004-03-31,-0.017874363075299857,-0.01316101493953048,-0.013280411765685285
2004-04-30,-0.029116244127666824,-0.018983539589090492,-0.013507256386194285
2004-05-31,0.022260434338897746,0.017146356399265095,0.012840411532564532
2004-06-30,0.02498366141817213,0.018543046357615944,0.025269244911373848
2004-07-30,-0.023283962442544513,-0.032273318359144154,-0.0251959057071377
2004-08-31,-0.01528821918046333,0.002443195699975531,0.00688026252200127
2004-09-30,0.008389594524937007,0.00999268827687061,0.01903786178583713
2004-10-29,0.012026904687157152,0.012910231660231641,0.014315074681590557
2004-11-30,0.02132175338136377,0.04455032757593802,0.04717101492126652
2004-12-31,0.05016658411280913,0.030106055422511213,0.02683854154584289
2005-01-31,-0.0024374777770020074,-0.022362448798848633,-0.016053095174168457
2005-02-28,0.11877130932661482,0.020835692447061627,0.033176014709816556
2005-03-31,-0.01136421742109112,-0.01830282861896848,-0.013194077875470901
2005-04-29,-0.04385830482901162,-0.018757062146892656,-0.02260882252399073
2005-05-31,0.04544806943173144,0.03224320589590057,0.02777058090498283
2005-06-30,-0.009913740429646576,0.0015618027666219891,0.005780679059255204
2005-07-29,0.05302422981728851,0.03820449988861663,0.04132763992307445
2005-08-31,-0.005114992423910859,-0.009333762471837703,-0.008360983988482914
2005-09-30,0.02828730590373554,0.008013861815031387,0.013414354734890895
2005-10-31,-0.01265387000137437,-0.023635582294800228,-0.02388053000183828
2005-11-30,0.011867520879875842,0.04390404929577474,0.03549068985161441
2005-12-30,0.01319708003108246,-0.0018973331927901738,0.006407871192652638
2006-01-31,0.045178543742599594,0.02407857218291265,0.0328210109085216
2006-02-28,-0.007200694040234175,0.005671857275445946,-0.0019677408908614297
2006-03-31,0.011369591669656794,0.01650943396226423,0.012575801219352423
2006-04-28,0.032329695300669425,0.012609704428528268,0.016262038451226077
2006-05-31,-0.016431608301646212,-0.030085674437138832,-0.02317210575929956
