,Average,bmSPY
AnnRet(%),6.6000000000000005,6.2
AnnRisk(%),10.310406772972001,14.247132986212927
AnnSharpe(2.5%),0.6081716955372037,0.4115348685475944
Avg_DD(%),3.773,5.201
MaxDD(%),23.232,46.322
WinRate(%),61.1,63.800000000000004
Gain_to_Loss,1.067,0.816
RoMDD,0.284,0.133
Sortino(5%),0.633280826746485,0.45215982901002183
Sterling_Ratio(over MDD),0.284,0.133
beta,0.501792411270958,0.9999999999999998
ann_alpha,0.0027040946639583143,2.1141942363467336e-18
R_squared,0.47574368652541266,1.0
p_value,0.07346494683363165,0.0009290561306448043
tvalue,1.7989773285051718,3.359180690918672
1YrReturns,12.82065275774702,16.136712992611415
1YrRisk,8.744997553687186,8.950113720776855
3YrReturns,7.213395974816117,12.388680764416971
3YrRisk,9.669483579949619,10.292786569715563
5YrReturns,8.573536501759538,12.983990842800065
5YrRisk,9.589530735655478,9.73253728284337
Total Return,1.218986408701502,1.2366553540446064
Best_Month,8.37789180104809,10.914713010345256
Worst_Month,-11.383074928300799,-16.518625676257393
Best_Year,28.518773724291137,28.660059746580323
Worst_Year,-22.732395654363476,-42.87458516954188
