,Average,bmSPY
AnnRet(%),6.0,6.2
AnnRisk(%),10.579095215311227,14.247132986212927
AnnSharpe(2.5%),0.5323944227996155,0.4115348685475944
Avg_DD(%),4.232,5.201
MaxDD(%),23.015,46.322
WinRate(%),59.199999999999996,63.800000000000004
Gain_to_Loss,1.112,0.816
RoMDD,0.259,0.133
Sortino(5%),0.5545676260842853,0.45215982901002183
Sterling_Ratio(over MDD),0.259,0.133
beta,0.4600048732309363,0.9999999999999998
ann_alpha,0.002460377659288726,2.1141942363467336e-18
R_squared,0.37835607374373004,1.0
p_value,0.14465332226600797,0.0009290561306448043
tvalue,1.4641577761952207,3.359180690918672
1YrReturns,11.302636848996306,16.136712992611415
1YrRisk,8.885252484668793,8.950113720776855
3YrReturns,9.281180995928029,12.388680764416971
3YrRisk,10.334240260495012,10.292786569715563
5YrReturns,9.99233001746922,12.983990842800065
5YrRisk,9.933580688736447,9.73253728284337
Total Return,1.1182236400236052,1.2366553540446064
Best_Month,9.50249455499909,10.914713010345256
Worst_Month,-14.444205610400914,-16.518625676257393
Best_Year,28.505687321553747,28.660059746580323
Worst_Year,-23.24578000373231,-42.87458516954188
