Date,BIL,SHY,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
1/2/2001,,,91.176003,14.067952,,23.43709,12.256417,21.327017,23.445959,18.446329,,17.08091,19.966192,20.400068
1/3/2001,,,95.555626,14.15169,,22.72154,12.917683,22.253328,27.221155,17.59763,,16.721659,21.541525,22.009617
1/4/2001,,,94.527039,14.622715,,22.016998,12.690609,22.431887,27.494331,16.902309,,16.460382,22.174038,22.321541
1/5/2001,,,91.441429,14.319167,,22.490364,12.423436,21.784634,25.830296,17.014793,,16.297079,21.577353,21.585392
1/8/2001,,,92.149284,14.361032,,22.413301,12.296518,21.606077,25.755751,17.127275,,16.542006,21.267023,21.29842
1/9/2001,,,91.905899,13.774866,,21.961958,12.08945,21.673,26.327032,17.311327,,16.615473,21.529625,21.123732
1/10/2001,,,93.520676,13.900473,,22.105062,12.289847,21.873922,27.121805,17.209087,,16.574659,21.696667,21.260986
1/11/2001,,,93.609116,13.523653,,22.347252,12.31657,22.141771,28.264296,16.871641,,16.190899,22.185955,21.448143
1/12/2001,,,93.432213,13.209644,,22.204136,12.082783,22.074762,27.842035,16.851196,,16.313383,22.484375,21.435667
1/16/2001,,,94.029388,13.649264,,22.193132,12.296518,22.286825,27.519201,17.086388,,16.052114,22.723059,21.93475
1/17/2001,,,94.460716,13.575989,,22.083052,12.31657,22.253328,28.363663,16.892084,,16.092936,22.890097,21.635307
1/18/2001,,,95.400764,13.502726,,21.664717,12.136217,22.398397,29.853861,17.025011,,16.378706,22.818527,21.310894
1/19/2001,,,94.858887,13.125901,,21.565651,12.049399,22.164045,30.263657,16.892084,,16.329744,22.257601,20.462446
1/22/2001,,,95.489235,13.230572,,21.79682,12.263135,22.119413,29.704834,16.994345,,16.297079,22.102467,21.236038
1/23/2001,,,96.241341,13.272441,,22.138088,12.38334,22.409613,30.201574,17.106819,,16.280724,22.615591,21.485575
1/24/2001,,,96.528885,13.324778,,22.11607,12.45682,22.286825,30.574091,17.045473,,16.305235,22.400816,21.510536
1/25/2001,,,96.285545,13.502726,,22.776579,12.570358,22.275681,29.506147,17.403353,,16.419518,22.36499,21.847412
1/26/2001,,,96.175011,13.366647,,22.391283,12.617124,21.907345,29.704834,17.229521,,16.264418,22.138216,21.61034
1/29/2001,,,96.688141,13.324361,,22.207222,12.627556,21.998913,30.328756,17.086781,,16.517864,22.501551,22.039568
1/30/2001,,,97.537529,13.826788,,22.397449,12.738702,22.356039,30.40028,17.283108,,16.517864,22.455725,22.103437
1/31/2001,,,96.985435,13.967475,,22.636992,12.580535,22.406038,29.645233,17.328913,,16.366316,22.318241,22.814135
2/1/2001,,,97.629517,14.041153,,22.348127,12.597631,22.113201,29.629335,17.479425,,16.56489,22.616125,22.782194
2/2/2001,,,95.414085,13.994263,,22.72154,12.63183,22.041765,28.325897,17.590687,,16.381996,22.34878,22.350977
2/5/2001,,,96.114807,14.121541,,23.179504,12.717327,22.148899,28.151049,17.577597,,16.502186,22.333515,22.223225
2/6/2001,,,95.831673,14.000957,,23.32745,12.46939,22.256048,28.317951,17.656128,,16.601473,22.356432,22.247173
2/7/2001,,,95.336197,14.000957,,23.390848,12.43947,22.063198,27.58675,17.688848,,16.606699,22.570301,22.295088
