,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2001-01-31,,,,,,,,,,,
2001-02-28,,,,,,,,,,,
2001-03-30,,,,,,,,,,,
2001-04-30,,,,,,,,,,,
2001-05-31,,,,,,,,,,,
2001-06-29,,,,,,,,,,,
2001-07-31,,,,,,,,,,,
2001-08-31,,,,,,,,,,,
2001-09-28,,,,,,,,,,,
2001-10-31,,,,,,,,,,,
2001-11-30,,,,,,,,,,,
2001-12-31,,,,,,,,,,,
2002-01-31,,,,,,,,,,,
2002-02-28,,,,,,,,,,,
2002-03-29,,,,,,,,,,,
2002-04-30,,,,,,,,,,,
2002-05-31,,,,,,,,,,,
2002-06-28,,,,,,,,,,,
2002-07-31,,,,,,,,,,,
2002-08-30,,,,,,,,,,,
2002-09-30,,,,,,,,,,,
2002-10-31,,,,,,,,,,,
2002-11-29,,,,,,,,,,,
2002-12-31,,,,,,,0.24999999999999997,,0.24999999999999997,0.5,
2003-01-31,0.25,,,,0.25,,0.12499999999999999,,,0.25,0.12499999999999999
2003-02-28,0.2,,,,0.2,,0.2,,,0.2,0.2
2003-03-31,,,,0.7272727272727274,,,0.09090909090909093,,,0.09090909090909093,0.09090909090909093
2003-04-30,,,0.8,,,,0.1,,,0.1,
2003-05-30,,,,,,,,,,,
2003-06-30,0.1818181818181818,,0.6363636363636364,,,,,,,0.1818181818181818,
2003-07-31,,,0.8333333333333333,,,,,,0.08333333333333336,0.08333333333333336,
2003-08-29,,,0.6410256410256411,0.1794871794871795,,,,,,0.1794871794871795,
2003-09-30,0.11111111111111113,,0.638888888888889,,,,,,,0.13888888888888892,0.11111111111111113
2003-10-31,,,,,,0.4,,,,0.4,0.19999999999999996
2003-11-28,,,,,,0.2352941176470588,,,0.2352941176470588,0.2352941176470588,0.29411764705882354
2003-12-31,,,,,,0.16666666666666663,,,0.33333333333333337,0.33333333333333337,0.16666666666666663
2004-01-30,0.43749999999999994,,,,,0.12500000000000006,,,,,0.43749999999999994
2004-02-27,0.25,,,,0.25,0.25,,,,,0.25
2004-03-31,0.33333333333333337,,,,0.33333333333333337,0.33333333333333337,,,,,
2004-04-30,0.2,,,0.2,0.2,0.2,,,,,0.2
2004-05-31,0.32,,,0.040000000000000015,,0.32,,,,,0.32
2004-06-30,0.2222222222222222,,0.02777777777777779,0.02777777777777779,,0.2222222222222222,,,0.2777777777777778,,0.2222222222222222
2004-07-30,,,,0.125,,0.5,,,,0.25000000000000006,0.125
2004-08-31,,,0.0689655172413793,,,0.37931034482758624,0.2413793103448276,,,0.2413793103448276,0.0689655172413793
2004-09-30,,,,0.2857142857142857,,0.2857142857142857,0.2857142857142857,,,0.14285714285714285,
2004-10-29,,,,0.0,,,0.5,,,0.5,
2004-11-30,,,,0.11764705882352944,,0.11764705882352944,0.11764705882352944,,,0.6470588235294117,
2004-12-31,0.04545454545454548,,0.4545454545454546,,0.04545454545454548,,,,,0.4545454545454546,
2005-01-31,0.11764705882352942,,0.6470588235294117,,0.11764705882352942,0.11764705882352942,,,,,
2005-02-28,,,,0.2857142857142857,0.14285714285714288,0.14285714285714288,,,0.35714285714285715,,0.07142857142857141
2005-03-31,0.2857142857142857,,,0.2857142857142857,,0.14285714285714288,,,,,0.2857142857142857
2005-04-29,0.125,,0.125,,0.125,0.125,,,,,0.5
2005-05-31,0.4545454545454546,,0.045454545454545456,,0.045454545454545456,,,,,,0.4545454545454546
2005-06-30,0.368421052631579,,,,0.13157894736842107,0.13157894736842107,,,,,0.368421052631579
2005-07-29,0.5,,0.3181818181818182,,0.0909090909090909,,0.0909090909090909,,,,
2005-08-31,0.3783783783783784,,0.35135135135135137,,0.13513513513513514,,0.13513513513513514,,,,
2005-09-30,0.4,,,,0.1,,,,,0.1,0.4
2005-10-31,,,0.5517241379310345,,,,,,0.06896551724137931,0.37931034482758624,
2005-11-30,,,0.22580645161290322,,,,,,0.06451612903225805,0.3548387096774194,0.3548387096774194
2005-12-30,,,0.19047619047619047,,,,,,0.6190476190476192,,0.19047619047619047
2006-01-31,,,0.15999999999999998,,,0.15999999999999998,,,0.52,,0.15999999999999998
2006-02-28,,,0.6333333333333333,,,0.03333333333333335,,,0.33333333333333337,,
2006-03-31,,,0.5,,,,,,0.5,,
2006-04-28,,,0.3684210526315789,,,0.13157894736842105,,,0.3684210526315789,0.13157894736842105,
2006-05-31,0.0,,0.25,0.25,,0.25,,,,0.25,
2006-06-30,0.25,,0.0,0.25,,0.25,,,,0.25,
2006-07-31,0.3414634146341463,,0.09756097560975609,,0.12195121951219512,0.3414634146341463,,,,,0.09756097560975609
2006-08-31,0.18181818181818182,,0.09090909090909093,,0.18181818181818182,0.4545454545454546,,,,,0.09090909090909093
2006-09-29,0.5833333333333334,,0.20833333333333334,,0.20833333333333334,,,,,,
2006-10-31,0.5333333333333333,,0.23333333333333336,,0.23333333333333336,,,,,,
2006-11-30,,,0.23529411764705885,0.2941176470588236,0.23529411764705885,,0.23529411764705885,,,,
2006-12-29,0.19999999999999998,,0.49999999999999994,,0.09999999999999996,,0.19999999999999998,,,,
2007-01-31,,,0.7647058823529411,,,,,,0.23529411764705882,,
2007-02-28,,,0.5555555555555556,0.19444444444444442,,0.05555555555555557,,,,0.19444444444444442,
2007-03-30,,,,0.2352941176470588,,0.2352941176470588,,,,0.29411764705882354,0.2352941176470588
2007-04-30,0.5384615384615385,,,0.15384615384615383,,0.15384615384615383,,,,,0.15384615384615383
2007-05-31,0.35897435897435903,,0.3333333333333334,0.10256410256410257,,,,,0.10256410256410257,,0.10256410256410257
2007-06-29,0.29411764705882354,,,0.23529411764705882,,,,,0.23529411764705882,,0.23529411764705882
2007-07-31,0.21212121212121213,,,0.3333333333333333,,,,,0.060606060606060594,0.060606060606060594,0.3333333333333333
2007-08-31,0.25,,,0.25,,,,,0.25,,0.25
2007-09-28,0.32,,,0.040000000000000015,,,,,0.32,,0.32
2007-10-31,,,,0.28571428571428575,,,,,0.28571428571428575,0.14285714285714288,0.28571428571428575
2007-11-30,0.25,,0.25,0.25,0.0,0.0,,,,,0.25
2007-12-31,,,,0.25,0.25,0.25,,,,,0.25
2008-01-31,,,0.22857142857142856,,0.5428571428571428,0.22857142857142856,,,,,
2008-02-29,,,,,0.7777777777777777,0.22222222222222218,,,,,
2008-03-31,,,,,,0.7999999999999998,,,0.10000000000000002,0.10000000000000002,
2008-04-30,,,,,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,
